ID	feed_type	feed_shape	feed_particle_size	feed_LHV	C	H	N	S	O	feed_ash	feed_moisture	feed_VM	feed_FC	feed_cellulose	feed_hemicellulose	feed_lignin	temperature	operating_condition	operating_pressure	residence_time	steam_biomass_ratio	ER	gasifying_agent	reactor_type	bed_material	catalyst	scale	N2	H2	CO	CO2	CH4	C2Hn	gas_LHV	gas_tar	gas_yield	char_yield	CGE	CCE	Reference
17	plastics	pellets	1.00	42.90	85.78	14.23	0.00	0.00	0.00	1.30	0.30	NaN	NaN	NaN	NaN	NaN	818.00	continuous	NaN	NaN	NaN	0.23	air	fluidised bed	olivine	1.00	pilot	46.20	30.60	17.50	2.30	2.80	0.60	6.90	0.00	4.90	NaN	79.00	67.35	"Arena, Waste Management 2010, 30, 1212-1219"
18	plastics	pellets	1.00	42.90	85.78	14.23	0.00	0.00	0.00	1.30	0.30	NaN	NaN	NaN	NaN	NaN	831.00	continuous	NaN	NaN	NaN	0.27	air	fluidised bed	olivine	1.00	pilot	46.40	28.20	21.10	1.50	2.30	0.50	6.80	0.00	5.82	NaN	93.00	86.62	"Arena, Waste Management 2010, 30, 1212-1219"
19	plastics	pellets	1.00	42.90	85.78	14.23	0.00	0.00	0.00	1.30	0.30	NaN	NaN	NaN	NaN	NaN	829.00	continuous	NaN	NaN	NaN	0.24	air	fluidised bed	olivine	1.00	pilot	45.70	29.50	19.90	1.70	2.50	0.70	7.00	0.00	5.14	NaN	84.00	75.43	"Arena, Waste Management 2010, 30, 1212-1219"
20	plastics	pellets	1.00	42.90	85.78	14.23	0.00	0.00	0.00	1.30	0.30	NaN	NaN	NaN	NaN	NaN	879.00	continuous	NaN	NaN	NaN	0.29	air	fluidised bed	dolomite	1.00	pilot	54.80	13.70	16.70	5.10	7.30	2.40	7.70	0.00	5.14	NaN	93.00	101.55	"Arena, Waste Management 2010, 30, 1212-1219"
21	plastics	pellets	NaN	33.40	73.49	11.01	0.00	0.11	15.43	6.74	0.60	NaN	NaN	NaN	NaN	NaN	914.00	continuous	NaN	NaN	NaN	0.31	air	fluidised bed	olivine	1.00	pilot	68.50	6.60	4.80	11.40	6.30	2.40	5.20	56.00	3.32	NaN	52.00	63.45	"Arena, Waste Management 2010, 30, 1212-1219"
22	plastics	pellets	NaN	33.40	73.49	11.01	0.00	0.11	15.43	6.74	0.60	NaN	NaN	NaN	NaN	NaN	884.00	continuous	NaN	NaN	NaN	0.25	air	fluidised bed	olivine	1.00	pilot	64.20	8.00	4.60	11.60	7.90	3.70	6.40	55.00	3.04	NaN	58.00	66.73	"Arena, Waste Management 2010, 30, 1212-1219"
23	plastics	pellets	NaN	33.40	73.49	11.01	0.00	0.11	15.43	6.74	0.60	NaN	NaN	NaN	NaN	NaN	869.00	continuous	NaN	NaN	NaN	0.22	air	fluidised bed	olivine	1.00	pilot	66.30	6.80	3.70	11.10	7.30	4.80	6.80	99.00	2.65	NaN	54.00	58.54	"Arena, Waste Management 2010, 30, 1212-1219"
24	plastics	pellets	NaN	40.20	81.63	13.45	0.21	0.10	4.62	1.91	0.70	NaN	NaN	NaN	NaN	NaN	894.00	continuous	NaN	NaN	NaN	0.27	air	fluidised bed	olivine	1.00	pilot	65.60	8.60	5.30	9.80	7.30	3.40	6.40	59.00	3.77	NaN	60.00	68.87	"Arena, Waste Management 2010, 30, 1212-1219"
25	plastics	pellets	NaN	40.20	81.63	13.45	0.21	0.10	4.62	1.91	0.70	NaN	NaN	NaN	NaN	NaN	890.00	continuous	NaN	NaN	NaN	0.24	air	fluidised bed	olivine	1.00	pilot	61.00	9.60	4.50	10.90	8.60	5.40	7.90	32.00	3.51	NaN	69.00	76.44	"Arena, Waste Management 2010, 30, 1212-1219"
26	plastics	pellets	1.50	25.40	61.13	8.73	0.57	0.11	29.83	6.23	5.60	NaN	NaN	NaN	NaN	NaN	879.00	continuous	NaN	NaN	NaN	0.26	air	fluidised bed	olivine	1.00	pilot	55.80	9.90	11.60	14.30	6.30	2.10	6.20	19.00	2.44	NaN	60.00	74.27	"Arena, Waste Management 2010, 30, 1212-1219"
27	plastics	pellets	1.50	25.40	61.13	8.73	0.57	0.11	29.83	6.23	5.60	NaN	NaN	NaN	NaN	NaN	915.00	continuous	NaN	NaN	NaN	0.31	air	fluidised bed	olivine	1.00	pilot	60.70	7.90	10.90	14.10	4.90	1.50	5.00	14.00	2.74	NaN	54.00	75.51	"Arena, Waste Management 2010, 30, 1212-1219"
28	municipal solid waste	pellets	2.00	27.30	69.61	10.17	0.61	0.74	19.24	16.51	1.90	NaN	NaN	NaN	NaN	NaN	899.00	continuous	NaN	NaN	NaN	0.34	air	fluidised bed	olivine	1.00	pilot	64.70	5.90	7.60	13.40	6.60	1.80	5.20	15.00	2.49	NaN	48.00	57.36	"Arena, Waste Management 2010, 30, 1212-1219"
29	municipal solid waste	pellets	2.00	27.30	69.61	10.17	0.61	0.74	19.24	16.51	1.90	NaN	NaN	NaN	NaN	NaN	896.00	continuous	NaN	NaN	NaN	0.28	air	fluidised bed	olivine	1.00	pilot	62.30	7.90	8.70	12.30	7.00	1.80	5.70	43.00	2.21	NaN	46.00	51.32	"Arena, Waste Management 2010, 30, 1212-1219"
30	municipal solid waste	pellets	2.00	27.30	69.61	10.17	0.61	0.74	19.24	16.51	1.90	NaN	NaN	NaN	NaN	NaN	869.00	continuous	NaN	NaN	NaN	0.23	air	fluidised bed	olivine	1.00	pilot	57.90	9.20	9.10	12.80	8.30	2.70	6.90	54.00	1.93	NaN	49.00	50.41	"Arena, Waste Management 2010, 30, 1212-1219"
31	herbaceous biomass	fibres	4.00	13.96	43.52	5.72	1.20	0.66	48.90	4.88	7.80	86.05	9.07	NaN	NaN	NaN	650.00	continuous	atmospheric	NaN	NaN	0.25	air	fluidised bed	silica	0.00	pilot	62.00	7.25	11.50	17.00	2.25	NaN	3.27	NaN	1.30	NaN	28.00	50.00	"Lahijani, Bioresource Technology 2011, 102, 2068-2076"
32	herbaceous biomass	fibres	4.00	13.96	43.52	5.72	1.20	0.66	48.90	4.88	7.80	86.05	9.07	NaN	NaN	NaN	750.00	continuous	atmospheric	NaN	NaN	0.25	air	fluidised bed	silica	0.00	pilot	57.40	6.50	13.75	18.75	3.60	NaN	3.45	NaN	1.50	NaN	37.00	64.00	"Lahijani, Bioresource Technology 2011, 102, 2068-2076"
33	herbaceous biomass	fibres	4.00	13.96	43.52	5.72	1.20	0.66	48.90	4.88	7.80	86.05	9.07	NaN	NaN	NaN	850.00	continuous	atmospheric	NaN	NaN	0.25	air	fluidised bed	silica	0.00	pilot	53.00	7.25	17.25	19.00	3.50	NaN	4.45	NaN	1.75	NaN	50.00	75.00	"Lahijani, Bioresource Technology 2011, 102, 2068-2076"
34	herbaceous biomass	fibres	4.00	13.96	43.52	5.72	1.20	0.66	48.90	4.88	7.80	86.05	9.07	NaN	NaN	NaN	950.00	continuous	atmospheric	NaN	NaN	0.25	air	fluidised bed	silica	0.00	pilot	51.75	9.50	18.75	17.00	3.00	NaN	4.95	NaN	1.90	NaN	63.00	82.00	"Lahijani, Bioresource Technology 2011, 102, 2068-2076"
35	herbaceous biomass	fibres	4.00	13.96	43.52	5.72	1.20	0.66	48.90	4.88	7.80	86.05	9.07	NaN	NaN	NaN	1050.00	continuous	atmospheric	NaN	NaN	0.25	air	fluidised bed	silica	0.00	pilot	50.75	12.25	20.00	14.00	3.00	NaN	5.37	NaN	2.00	NaN	71.00	89.00	"Lahijani, Bioresource Technology 2011, 102, 2068-2076"
36	herbaceous biomass	fibres	4.00	13.96	43.52	5.72	1.20	0.66	48.90	4.88	7.80	86.05	9.07	NaN	NaN	NaN	770.00	continuous	atmospheric	NaN	NaN	0.17	air	fluidised bed	silica	0.00	pilot	55.75	7.50	15.75	18.00	3.00	NaN	4.25	NaN	1.20	NaN	29.00	47.00	"Lahijani, Bioresource Technology 2011, 102, 2068-2076"
