ID	Inputs																											Outputs												References
	Feedstock information				Ultimate Analysis					Proximate Analysis				Lignocellulosic Composition			Gasifier Conditions and Information											Gas Composition								Yield and Process Efficiency				
	Type	Shape	Particle size [mm]	LHV [MJ/kg wb]	C [%daf]	H [%daf]	N [%daf]	S [%daf]	O [%daf]	Ash [%db]	Moisture [%wb]	Volatile Matter [%db]	Fixed carbon  [%db]	Cellulose [%db]	Hemicellulose [%db]	Lignin [%db]	Temperature [°C]	Operation (Batch/Continuous)	Operating Pressure [kPa]	Residence time [min]	Steam/Biomass [wt/wt]	ER	Gasifying agent	Reactor Type	Bed material	Catalyst	Scale	N2 [vol.% db]	H2 [vol.% db]	CO [vol.% db]	CO2 [vol.% db]	CH4 [vol.% db]	C2Hn [vol.% db]	LHV [MJ/Nm3]	Tar [g/Nm3]	Gas yield [Nm3/kg wb]	Char yield [g/kg wb]	CGE [%] (wb)	CCE [%] (wb)	
64	sewage sludge	spherical aggregate	3.5	11.50	48.75	8.57	7.32	1.61	33.75	44.00	6.95	56.00	-	-	-	-	750.00	continuous	-	80.00	-	0.20	air	bubbling fluidised bed	silica sand	-	laboratory scale	60.90	9.80	7.20	14.20	3.70	2.60	3.40	17.30	0.97	44.48	28.62	54.00	"de Andres, Fuel Processing Technology 2011, 92, 433-440"
65	sewage sludge	spherical aggregate	3.5	11.50	48.75	8.57	7.32	1.61	33.75	44.00	6.95	56.00	-	-	-	-	800.00	continuous	-	80.00	-	0.20	air	bubbling fluidised bed	silica sand	-	laboratory scale	52.20	14.00	10.70	13.60	4.90	3.20	4.80	14.10	1.02	35.56	42.53	67.30	"de Andres, Fuel Processing Technology 2011, 92, 433-440"
66	sewage sludge	spherical aggregate	3.5	11.50	48.75	8.57	7.32	1.61	33.75	44.00	6.95	56.00	-	-	-	-	850.00	continuous	-	80.00	-	0.20	air	bubbling fluidised bed	silica sand	-	laboratory scale	47.70	16.40	12.60	13.00	5.70	3.30	5.60	10.20	1.02	36.23	49.62	72.80	"de Andres, Fuel Processing Technology 2011, 92, 433-440"
67	sewage sludge	spherical aggregate	3.5	11.50	48.75	8.57	7.32	1.61	33.75	44.00	6.95	56.00	-	-	-	-	750.00	continuous	-	80.00	-	0.30	air	bubbling fluidised bed	silica sand	-	laboratory scale	65.10	7.60	6.90	14.10	2.70	2.10	2.80	11.80	1.27	44.99	31.01	66.20	"de Andres, Fuel Processing Technology 2011, 92, 433-440"
68	sewage sludge	spherical aggregate	3.5	11.50	48.75	8.57	7.32	1.61	33.75	44.00	6.95	56.00	-	-	-	-	800.00	continuous	-	80.00	-	0.30	air	bubbling fluidised bed	silica sand	-	laboratory scale	60.80	10.40	8.00	14.10	3.00	2.20	3.30	7.60	1.27	28.53	36.55	71.30	"de Andres, Fuel Processing Technology 2011, 92, 433-440"
69	sewage sludge	spherical aggregate	3.5	11.50	48.75	8.57	7.32	1.61	33.75	44.00	6.95	56.00	-	-	-	-	850.00	continuous	-	80.00	-	0.30	air	bubbling fluidised bed	silica sand	-	laboratory scale	57.70	12.10	10.10	13.10	3.30	2.40	3.90	4.30	1.32	19.06	44.92	77.90	"de Andres, Fuel Processing Technology 2011, 92, 433-440"
70	sewage sludge	spherical aggregate	3.5	11.50	48.75	8.57	7.32	1.61	33.75	44.00	6.95	56.00	-	-	-	-	750.00	continuous	-	80.00	-	0.40	air	bubbling fluidised bed	silica sand	-	laboratory scale	74.90	3.20	4.30	14.10	1.00	0.80	1.30	6.60	1.48	23.13	16.70	61.60	"de Andres, Fuel Processing Technology 2011, 92, 433-440"
71	sewage sludge	spherical aggregate	3.5	11.50	48.75	8.57	7.32	1.61	33.75	44.00	6.95	56.00	-	-	-	-	800.00	continuous	-	80.00	-	0.40	air	bubbling fluidised bed	silica sand	-	laboratory scale	65.30	8.50	6.90	13.80	2.40	1.50	2.70	4.80	1.58	19.67	37.08	79.50	"de Andres, Fuel Processing Technology 2011, 92, 433-440"
72	sewage sludge	spherical aggregate	3.5	11.50	48.75	8.57	7.32	1.61	33.75	44.00	6.95	56.00	-	-	-	-	850.00	continuous	-	80.00	-	0.40	air	bubbling fluidised bed	silica sand	-	laboratory scale	63.30	9.70	8.20	13.90	2.10	1.40	2.90	3.00	1.58	6.52	39.83	89.10	"de Andres, Fuel Processing Technology 2011, 92, 433-440"
73	sewage sludge	spherical aggregate	3.5	11.50	48.75	8.57	7.32	1.61	33.75	44.00	6.95	56.00	-	-	-	-	750.00	continuous	-	80.00	0.50	0.30	air + steam	bubbling fluidised bed	silica sand	-	laboratory scale	60.80	9.90	7.70	14.80	2.80	1.90	3.20	11.20	1.22	18.95	34.03	72.20	"de Andres, Fuel Processing Technology 2011, 92, 433-440"
74	sewage sludge	spherical aggregate	3.5	11.50	48.75	8.57	7.32	1.61	33.75	44.00	6.95	56.00	-	-	-	-	800.00	continuous	-	80.00	0.50	0.30	air + steam	bubbling fluidised bed	silica sand	-	laboratory scale	59.20	11.00	8.40	14.80	3.10	2.00	3.50	7.20	1.32	8.41	40.32	79.70	"de Andres, Fuel Processing Technology 2011, 92, 433-440"
75	sewage sludge	spherical aggregate	3.5	11.50	48.75	8.57	7.32	1.61	33.75	44.00	6.95	56.00	-	-	-	-	850.00	continuous	-	80.00	0.50	0.30	air + steam	bubbling fluidised bed	silica sand	-	laboratory scale	53.80	15.50	10.40	14.10	3.20	1.50	4.20	4.00	1.43	6.73	52.10	86.70	"de Andres, Fuel Processing Technology 2011, 92, 433-440"
76	sewage sludge	spherical aggregate	3.5	11.50	48.75	8.57	7.32	1.61	33.75	44.00	6.95	56.00	-	-	-	-	750.00	continuous	-	80.00	1.00	0.30	air + steam	bubbling fluidised bed	silica sand	-	laboratory scale	60.40	10.00	7.80	15.60	2.90	1.80	3.20	10.90	1.27	17.68	35.44	74.70	"de Andres, Fuel Processing Technology 2011, 92, 433-440"
77	sewage sludge	spherical aggregate	3.5	11.50	48.75	8.57	7.32	1.61	33.75	44.00	6.95	56.00	-	-	-	-	800.00	continuous	-	80.00	1.00	0.30	air + steam	bubbling fluidised bed	silica sand	-	laboratory scale	58.50	12.00	8.60	15.20	2.70	1.60	3.50	6.90	1.32	7.59	40.32	79.80	"de Andres, Fuel Processing Technology 2011, 92, 433-440"
78	sewage sludge	spherical aggregate	3.5	11.50	48.75	8.57	7.32	1.61	33.75	44.00	6.95	56.00	-	-	-	-	850.00	continuous	-	80.00	1.00	0.30	air + steam	bubbling fluidised bed	silica sand	-	laboratory scale	53.10	16.10	10.10	14.70	3.00	1.50	4.20	3.90	1.43	7.59	52.10	87.60	"de Andres, Fuel Processing Technology 2011, 92, 433-440"
79	sewage sludge	spherical aggregate	3.5	11.50	48.75	8.57	7.32	1.61	33.75	44.00	6.95	56.00	-	-	-	-	750.00	continuous	-	80.00	-	0.30	air	bubbling fluidised bed	silica sand	alumina (10% feedstock weight)	laboratory scale	64.90	8.00	7.60	14.20	2.30	1.50	2.70	7.40	1.27	25.27	29.91	68.40	"de Andres, Fuel Processing Technology 2011, 92, 433-440"
80	sewage sludge	spherical aggregate	3.5	11.50	48.75	8.57	7.32	1.61	33.75	44.00	6.95	56.00	-	-	-	-	800.00	continuous	-	80.00	-	0.30	air	bubbling fluidised bed	silica sand	alumina (10% feedstock weight)	laboratory scale	60.10	12.30	8.50	13.50	2.80	1.30	3.50	4.30	1.38	29.50	41.87	73.10	"de Andres, Fuel Processing Technology 2011, 92, 433-440"
81	sewage sludge	spherical aggregate	3.5	11.50	48.75	8.57	7.32	1.61	33.75	44.00	6.95	56.00	-	-	-	-	850.00	continuous	-	80.00	-	0.30	air	bubbling fluidised bed	silica sand	alumina (10% feedstock weight)	laboratory scale	55.10	15.00	12.20	12.50	2.80	1.00	4.30	2.30	1.43	9.27	53.34	85.50	"de Andres, Fuel Processing Technology 2011, 92, 433-440"
82	sewage sludge	spherical aggregate	3.5	11.50	48.75	8.57	7.32	1.61	33.75	44.00	6.95	56.00	-	-	-	-	750.00	continuous	-	80.00	-	0.30	air	bubbling fluidised bed	silica sand	alumina (15% feedstock weight)	laboratory scale	64.40	8.80	7.70	14.10	2.30	1.30	2.80	4.70	1.27	26.14	31.01	69.40	"de Andres, Fuel Processing Technology 2011, 92, 433-440"
83	sewage sludge	spherical aggregate	3.5	11.50	48.75	8.57	7.32	1.61	33.75	44.00	6.95	56.00	-	-	-	-	800.00	continuous	-	80.00	-	0.30	air	bubbling fluidised bed	silica sand	alumina (15% feedstock weight)	laboratory scale	59.80	12.10	8.30	12.60	2.80	1.40	3.50	2.60	1.43	42.95	43.42	71.40	"de Andres, Fuel Processing Technology 2011, 92, 433-440"
84	sewage sludge	spherical aggregate	3.5	11.50	48.75	8.57	7.32	1.61	33.75	44.00	6.95	56.00	-	-	-	-	850.00	continuous	-	80.00	-	0.30	air	bubbling fluidised bed	silica sand	alumina (15% feedstock weight)	laboratory scale	56.50	14.20	12.20	12.20	2.50	1.00	4.10	1.40	1.43	8.41	50.86	83.30	"de Andres, Fuel Processing Technology 2011, 92, 433-440"
85	sewage sludge	spherical aggregate	3.5	11.50	48.75	8.57	7.32	1.61	33.75	44.00	6.95	56.00	-	-	-	-	800.00	continuous	-	80.00	0.50	0.30	air + steam	bubbling fluidised bed	silica sand	alumina (10% feedstock weight)	laboratory scale	58.20	13.30	8.40	14.90	2.40	1.30	3.50	3.40	1.38	13.50	41.87	79.00	"de Andres, Fuel Processing Technology 2011, 92, 433-440"
86	sewage sludge	spherical aggregate	3.5	11.50	48.75	8.57	7.32	1.61	33.75	44.00	6.95	56.00	-	-	-	-	800.00	continuous	-	80.00	1.00	0.30	air + steam	bubbling fluidised bed	silica sand	alumina (10% feedstock weight)	laboratory scale	56.10	15.20	8.10	15.30	2.60	1.30	3.70	3.50	1.38	15.18	44.26	80.80	"de Andres, Fuel Processing Technology 2011, 92, 433-440"
87	rubber woodchip	chips	10x5	12.15	46.40	5.70	0.20	0.00	47.70	1.10	9.50	88.90	10.00	-	-	-	761.00	continuous	atmospheric	-	-	0.38	air	bubbling fluidised bed	silica sand	-	100 kW_th	58.28	6.47	13.20	15.91	3.51	1.29	4.59	-	1.88	-	71.16	86.40	"Kaewluan, Fuel Processing Technology 2011, 92, 671-677"
88	rubber woodchip	chips	10x5	12.15	46.40	5.70	0.20	0.00	47.70	1.10	18.10	88.90	10.00	-	-	-	730.00	continuous	atmospheric	-	-	0.38	air	bubbling fluidised bed	silica sand	-	100 kW_th	59.92	5.57	11.50	17.56	3.49	1.24	4.24	-	1.65	-	57.72	83.20	"Kaewluan, Fuel Processing Technology 2011, 92, 671-677"
89	rubber woodchip	chips	10x5	12.15	46.40	5.70	0.20	0.00	47.70	1.10	25.50	88.90	10.00	-	-	-	699.00	continuous	atmospheric	-	-	0.38	air	bubbling fluidised bed	silica sand	-	100 kW_th	61.45	5.44	10.41	17.66	3.20	1.20	3.94	-	1.49	-	48.34	79.60	"Kaewluan, Fuel Processing Technology 2011, 92, 671-677"
90	rubber woodchip	chips	10x5	11.53	46.40	5.70	0.20	0.00	47.70	1.10	27.00	88.90	10.00	-	-	-	705.00	continuous	atmospheric	-	-	0.36	air	bubbling fluidised bed	silica sand	-	100 kW_th	60.75	5.32	10.93	17.91	3.25	1.18	4.00	14.75	1.28	-	44.35	71.00	"Kaewluan, Fuel Processing Technology 2011, 92, 671-677"
91	rubber woodchip	chips	10x5	11.53	46.40	5.70	0.20	0.00	47.70	1.10	27.00	88.90	10.00	-	-	-	730.00	continuous	atmospheric	-	-	0.39	air	bubbling fluidised bed	silica sand	-	100 kW_th	61.38	5.30	10.79	17.63	3.08	1.16	3.90	11.75	1.46	-	49.43	75.00	"Kaewluan, Fuel Processing Technology 2011, 92, 671-677"
92	rubber woodchip	chips	10x5	11.53	46.40	5.70	0.20	0.00	47.70	1.10	27.00	88.90	10.00	-	-	-	740.00	continuous	atmospheric	-	-	0.42	air	bubbling fluidised bed	silica sand	-	100 kW_th	62.25	5.37	10.36	17.33	3.01	1.04	3.75	10.00	1.61	-	52.26	79.00	"Kaewluan, Fuel Processing Technology 2011, 92, 671-677"
93	rubber woodchip	chips	10x5	11.53	46.40	5.70	0.20	0.00	47.70	1.10	27.00	88.90	10.00	-	-	-	770.00	continuous	atmospheric	-	-	0.49	air	bubbling fluidised bed	silica sand	-	100 kW_th	63.00	5.20	9.93	17.44	2.88	0.93	3.56	4.25	1.79	-	55.15	86.00	"Kaewluan, Fuel Processing Technology 2011, 92, 671-677"
94	rubber woodchip (90%) + shredded rubber waste (10%)	"chips, uniform"	"10x5, 30"	13.84	50.94	6.18	0.13	0.54	42.20	1.59	24.40	86.63	11.90	-	-	-	725.00	continuous	atmospheric	-	-	0.30	air	bubbling fluidised bed	silica sand	-	100 kW_th	58.20	5.83	13.84	17.06	3.22	1.14	4.39	17.25	1.40	-	44.41	67.00	"Kaewluan, Fuel Processing Technology 2011, 92, 671-677"
95	rubber woodchip (90%) + shredded rubber waste (10%)	"chips, uniform"	"10x5, 30"	13.86	50.94	6.18	0.13	0.54	42.20	1.59	24.40	86.63	11.90	-	-	-	770.00	continuous	atmospheric	-	-	0.38	air	bubbling fluidised bed	silica sand	-	100 kW_th	60.21	5.73	12.74	16.30	3.16	1.19	4.25	9.50	1.74	-	53.25	80.00	"Kaewluan, Fuel Processing Technology 2011, 92, 671-677"
96	rubber woodchip (90%) + shredded rubber waste (10%)	"chips, uniform"	"10x5, 30"	13.86	50.94	6.18	0.13	0.54	42.20	1.59	24.40	86.63	11.90	-	-	-	785.00	continuous	atmospheric	-	-	0.43	air	bubbling fluidised bed	silica sand	-	100 kW_th	60.31	6.12	12.64	16.20	3.16	0.89	4.09	6.50	1.97	-	57.97	88.00	"Kaewluan, Fuel Processing Technology 2011, 92, 671-677"
97	rubber woodchip (90%) + shredded rubber waste (10%)	"chips, uniform"	"10x5, 30"	13.86	50.94	6.18	0.13	0.54	42.20	1.59	24.40	86.63	11.90	-	-	-	810.00	continuous	atmospheric	-	-	0.46	air	bubbling fluidised bed	silica sand	-	100 kW_th	61.90	5.47	12.36	15.76	3.02	0.85	3.90	4.25	2.04	-	57.43	92.00	"Kaewluan, Fuel Processing Technology 2011, 92, 671-677"
98	rubber woodchip (80%) + shredded rubber waste (20%)	"chips, uniform"	"10x5, 30"	16.19	55.35	6.53	0.26	0.91	36.95	2.05	21.80	84.36	13.80	-	-	-	745.00	continuous	atmospheric	-	-	0.30	air	bubbling fluidised bed	silica sand	-	100 kW_th	59.28	5.49	14.02	15.65	3.66	1.22	4.60	15.00	1.72	-	48.89	74.00	"Kaewluan, Fuel Processing Technology 2011, 92, 671-677"
99	rubber woodchip (80%) + shredded rubber waste (20%)	"chips, uniform"	"10x5, 30"	16.22	55.35	6.53	0.26	0.91	36.95	2.05	21.80	84.36	13.80	-	-	-	770.00	continuous	atmospheric	-	-	0.34	air	bubbling fluidised bed	silica sand	-	100 kW_th	59.42	6.12	13.67	15.51	3.47	1.12	4.49	12.00	1.88	-	51.94	80.00	"Kaewluan, Fuel Processing Technology 2011, 92, 671-677"
100	rubber woodchip (80%) + shredded rubber waste (20%)	"chips, uniform"	"10x5, 30"	16.22	55.35	6.53	0.26	0.91	36.95	2.05	21.80	84.36	13.80	-	-	-	775.00	continuous	atmospheric	-	-	0.38	air	bubbling fluidised bed	silica sand	-	100 kW_th	60.47	6.30	12.99	15.05	3.44	1.08	4.39	8.50	2.11	-	57.09	86.00	"Kaewluan, Fuel Processing Technology 2011, 92, 671-677"
101	rubber woodchip (80%) + shredded rubber waste (20%)	"chips, uniform"	"10x5, 30"	16.22	55.35	6.53	0.26	0.91	36.95	2.05	21.80	84.36	13.80	-	-	-	790.00	continuous	atmospheric	-	-	0.40	air	bubbling fluidised bed	silica sand	-	100 kW_th	60.68	6.08	12.95	15.20	3.43	0.98	4.29	7.00	2.15	-	56.87	88.00	"Kaewluan, Fuel Processing Technology 2011, 92, 671-677"
102	rubber woodchip (80%) + shredded rubber waste (20%)	"chips, uniform"	"10x5, 30"	16.22	55.35	6.53	0.26	0.91	36.95	2.05	21.80	84.36	13.80	-	-	-	825.00	continuous	atmospheric	-	-	0.45	air	bubbling fluidised bed	silica sand	-	100 kW_th	61.60	5.56	12.74	15.23	3.35	0.86	4.10	3.00	2.35	-	59.29	95.00	"Kaewluan, Fuel Processing Technology 2011, 92, 671-677"
103	birch woodchips	chips	11	20.01	50.65	5.63	0.12	0.02	43.62	0.50	6.60	82.20	-	40.60	29.60	26.30	594.00	batch	-	255.00	-	0.49	air	fixed-bed downdraft	-	-	laboratory scale	56.30	11.90	19.70	10.00	2.10	-	4.50	26.77	2.06	242.25	45.10	67.30	"Sarker, Energy Conversion and Management, 2015, 103, 801-813"
104	birch woodchips	chips	11	20.01	50.65	5.63	0.12	0.02	43.62	0.50	8.60	82.20	-	40.60	29.60	26.30	684.00	batch	-	366.00	-	0.49	air	fixed-bed downdraft	-	-	laboratory scale	57.70	10.30	19.40	10.30	2.30	-	4.40	13.21	2.02	104.15	44.10	68.50	"Sarker, Energy Conversion and Management, 2015, 103, 801-813"
105	birch woodchips	chips	11	20.01	50.65	5.63	0.12	0.02	43.62	0.50	8.30	82.20	-	40.60	29.60	26.30	625.00	batch	-	336.00	-	0.50	air	fixed-bed downdraft	-	-	laboratory scale	59.20	11.00	18.50	9.50	1.80	-	4.20	9.94	2.17	48.41	44.30	68.50	"Sarker, Energy Conversion and Management, 2015, 103, 801-813"
106	oak woodchips	chips	11	18.90	49.59	6.09	0.20	0.02	44.12	1.40	7.40	82.90	-	38.10	26.10	25.90	647.00	batch	-	282.00	-	0.52	air	fixed-bed downdraft	-	-	laboratory scale	58.00	9.00	21.70	9.10	2.20	-	4.50	22.41	2.13	93.06	52.50	79.50	"Sarker, Energy Conversion and Management, 2015, 103, 801-813"
107	oak woodchips	chips	11	18.90	49.59	6.09	0.20	0.02	44.12	1.40	6.70	82.90	-	38.10	26.10	25.90	600.00	batch	-	250.00	-	0.57	air	fixed-bed downdraft	-	-	laboratory scale	55.00	11.10	20.30	11.10	2.50	-	4.60	39.32	2.05	82.99	50.90	76.50	"Sarker, Energy Conversion and Management, 2015, 103, 801-813"
108	oak woodchips	chips	11	18.90	49.59	6.09	0.20	0.02	44.12	1.40	6.70	82.90	-	38.10	26.10	25.90	575.00	batch	-	347.00	-	0.52	air	fixed-bed downdraft	-	-	laboratory scale	63.77	8.50	16.40	9.73	1.60	-	4.30	30.91	2.32	220.34	50.00	72.30	"Sarker, Energy Conversion and Management, 2015, 103, 801-813"
109	spruce woodchips	chips	11	20.27	51.06	6.04	0.14	0.01	42.70	0.70	6.30	82.60	-	44.50	20.60	27.80	565.00	batch	-	250.00	-	0.49	air	fixed-bed downdraft	-	-	laboratory scale	61.40	9.20	18.30	9.40	1.70	-	3.90	34.67	1.89	102.74	34.90	56.00	"Sarker, Energy Conversion and Management, 2015, 103, 801-813"
110	spruce woodchips	chips	11	20.27	51.06	6.04	0.14	0.01	42.70	0.70	6.60	82.60	-	44.50	20.60	27.80	602.00	batch	-	283.00	-	0.46	air	fixed-bed downdraft	-	-	laboratory scale	59.70	10.00	20.60	7.90	1.80	-	4.30	60.00	1.81	140.07	38.60	58.20	"Sarker, Energy Conversion and Management, 2015, 103, 801-813"
111	spruce woodchips	chips	11	20.27	51.06	6.04	0.14	0.01	42.70	0.70	11.00	82.60	-	44.50	20.60	27.80	553.00	batch	-	241.00	-	0.43	air	fixed-bed downdraft	-	-	laboratory scale	60.90	8.40	20.50	8.60	1.60	-	4.00	28.88	1.67	201.72	32.80	70.00	"Sarker, Energy Conversion and Management, 2015, 103, 801-813"
112	poplar woodchips	chips	11	19.67	49.85	6.05	0.22	0.02	43.90	0.90	9.80	83.90	-	46.20	24.40	24.50	711.00	batch	-	403.00	-	0.53	air	fixed-bed downdraft	-	-	laboratory scale	57.20	14.20	19.00	8.80	0.80	-	4.20	11.75	2.30	63.41	49.30	71.60	"Sarker, Energy Conversion and Management, 2015, 103, 801-813"
113	poplar woodchips	chips	11	19.67	49.85	6.05	0.22	0.02	43.90	0.90	10.00	83.90	-	46.20	24.40	24.50	620.00	batch	-	297.00	-	0.48	air	fixed-bed downdraft	-	-	laboratory scale	60.80	10.90	19.50	7.90	0.90	-	3.90	22.38	1.91	175.43	39.00	59.20	"Sarker, Energy Conversion and Management, 2015, 103, 801-813"
114	poplar woodchips	chips	11	19.67	49.85	6.05	0.22	0.02	43.90	0.90	10.50	83.90	-	46.20	24.40	24.50	668.00	batch	-	275.00	-	0.43	air	fixed-bed downdraft	-	-	laboratory scale	54.10	15.30	19.70	9.60	1.30	-	4.60	9.55	1.93	60.32	40.30	68.60	"Sarker, Energy Conversion and Management, 2015, 103, 801-813"
115	willow woodchips	chips	11	19.80	50.56	5.98	0.54	0.04	42.96	1.30	6.90	80.70	-	38.50	17.60	26.30	609.00	batch	-	325.00	-	0.53	air	fixed-bed downdraft	-	-	laboratory scale	56.70	12.90	19.00	10.20	1.20	-	4.20	30.68	2.03	62.37	42.90	65.80	"Sarker, Energy Conversion and Management, 2015, 103, 801-813"
116	willow woodchips	chips	11	19.80	50.56	5.98	0.54	0.04	42.96	1.30	7.70	80.70	-	38.50	17.60	26.30	667.00	batch	-	275.00	-	0.31	air	fixed-bed downdraft	-	-	laboratory scale	59.90	12.10	16.90	9.60	1.50	-	3.95	50.95	1.45	102.15	28.90	50.40	"Sarker, Energy Conversion and Management, 2015, 103, 801-813"
117	willow woodchips	chips	11	19.80	50.56	5.98	0.54	0.04	42.96	1.30	9.80	80.70	-	38.50	17.60	26.30	755.00	batch	-	346.00	-	0.52	air	fixed-bed downdraft	-	-	laboratory scale	58.70	11.40	17.30	11.00	1.60	-	3.97	13.72	2.22	180.64	43.10	69.60	"Sarker, Energy Conversion and Management, 2015, 103, 801-813"
118	alfalfa	pellets	25x6	15.23	50.11	5.90	2.88	0.30	40.88	16.98	8.73	81.52	-	29.60	14.00	14.00	775.00	continuous	-	200.00	-	0.25	air	bubbling fluidised bed	silica sand	-	pilot-scale	51.50	13.02	8.43	20.31	2.77	1.06	4.13	1.15	1.36	301.52	33.80	47.56	"Sarker, Energy Conversion and Management, 2015, 91, 451-458"
119	alfalfa	pellets	25x6	15.23	50.11	5.90	2.88	0.30	40.88	16.98	8.73	81.52	-	29.60	14.00	14.00	775.00	continuous	-	200.00	-	0.30	air	bubbling fluidised bed	silica sand	-	pilot-scale	50.60	12.91	9.08	19.60	2.67	1.12	4.21	-	1.66	-	42.14	57.87	"Sarker, Energy Conversion and Management, 2015, 91, 451-458"
120	alfalfa	pellets	25x6	15.23	50.11	5.90	2.88	0.30	40.88	16.98	8.73	81.52	-	29.60	14.00	14.00	775.00	continuous	-	200.00	-	0.25	air	bubbling fluidised bed	silica sand	-	pilot-scale	54.14	13.50	8.42	20.04	2.70	1.20	4.25	1.09	1.35	261.92	34.76	47.09	"Sarker, Energy Conversion and Management, 2015, 91, 451-458"
121	alfalfa	pellets	25x6	15.23	50.11	5.90	2.88	0.30	40.88	16.98	8.73	81.52	-	29.60	14.00	14.00	775.00	continuous	-	200.00	-	0.30	air	bubbling fluidised bed	silica sand	-	pilot-scale	54.45	12.73	9.15	19.90	2.65	1.09	4.19	-	1.38	-	34.85	48.54	"Sarker, Energy Conversion and Management, 2015, 91, 451-458"
122	rice husk	"as received, uniform"	-	14.22	47.00	6.78	0.48	0.04	45.70	20.00	9.08	66.40	13.60	-	-	-	665.00	continuous	-	-	-	0.25	air	fluidised bed	alumina sand	-	127 kW	56.57	4.00	19.90	14.45	2.90	2.14	4.96	-	1.50	-	52.29	76.00	"Mansaray, Biomass and Bioenergy 1999, 17, 315-332"
123	rice husk	"as received, uniform"	-	14.22	47.00	6.78	0.48	0.04	45.70	20.00	9.08	66.40	13.60	-	-	-	744.00	continuous	-	-	-	0.30	air	fluidised bed	alumina sand	-	127 kW	61.30	3.78	14.95	16.23	2.37	1.29	3.76	-	1.73	-	45.76	78.30	"Mansaray, Biomass and Bioenergy 1999, 17, 315-332"
124	rice husk	"as received, uniform"	-	14.22	47.00	6.78	0.48	0.04	45.70	20.00	9.08	66.40	13.60	-	-	-	811.00	continuous	-	-	-	0.35	air	fluidised bed	alumina sand	-	127 kW	63.59	3.39	12.75	17.14	1.98	1.13	3.22	-	1.98	-	44.81	81.00	"Mansaray, Biomass and Bioenergy 1999, 17, 315-332"
125	rice husk	"as received, uniform"	-	14.22	47.00	6.78	0.48	0.04	45.70	20.00	9.08	66.40	13.60	-	-	-	670.00	continuous	-	-	-	0.25	air	fluidised bed	alumina sand	-	127 kW	59.46	3.77	18.29	14.50	2.36	1.62	4.31	-	1.49	-	45.17	70.40	"Mansaray, Biomass and Bioenergy 1999, 17, 315-332"
126	rice husk	"as received, uniform"	-	14.22	47.00	6.78	0.48	0.04	45.70	20.00	9.08	66.40	13.60	-	-	-	750.00	continuous	-	-	-	0.30	air	fluidised bed	alumina sand	-	127 kW	62.42	3.40	14.43	16.46	2.00	1.21	3.48	-	1.71	-	41.82	72.60	"Mansaray, Biomass and Bioenergy 1999, 17, 315-332"
127	rice husk	"as received, uniform"	-	14.22	47.00	6.78	0.48	0.04	45.70	20.00	9.08	66.40	13.60	-	-	-	822.00	continuous	-	-	-	0.35	air	fluidised bed	alumina sand	-	127 kW	64.11	3.26	12.50	17.23	1.85	1.05	3.09	-	1.97	-	42.81	78.60	"Mansaray, Biomass and Bioenergy 1999, 17, 315-332"
128	rice husk	"as received, uniform"	-	14.22	47.00	6.78	0.48	0.04	45.70	20.00	9.08	66.40	13.60	-	-	-	700.00	continuous	-	-	-	0.25	air	fluidised bed	alumina sand	-	127 kW	63.13	3.41	15.13	14.82	2.00	1.51	3.69	-	1.30	-	33.71	55.00	"Mansaray, Biomass and Bioenergy 1999, 17, 315-332"
129	rice husk	"as received, uniform"	-	14.22	47.00	6.78	0.48	0.04	45.70	20.00	9.08	66.40	13.60	-	-	-	766.00	continuous	-	-	-	0.30	air	fluidised bed	alumina sand	-	127 kW	63.98	3.32	13.00	16.62	1.91	1.09	3.20	-	1.50	-	33.75	60.00	"Mansaray, Biomass and Bioenergy 1999, 17, 315-332"
130	rice husk	"as received, uniform"	-	14.22	47.00	6.78	0.48	0.04	45.70	20.00	9.08	66.40	13.60	-	-	-	828.00	continuous	-	-	-	0.35	air	fluidised bed	alumina sand	-	127 kW	64.21	3.25	12.29	17.42	1.84	0.98	3.03	-	1.70	-	36.23	67.00	"Mansaray, Biomass and Bioenergy 1999, 17, 315-332"
131	rice husk	as received	-	14.83	49.07	3.79	0.63	0.09	46.42	21.68	9.95	61.68	16.65	-	-	-	750.00	continuous	slightly above atmospheric	-	0.50	0.35	air + steam	bubbling fluidised bed	silica sand	-	laboratory scale	55.10	9.20	12.80	20.80	2.10	-	3.38	-	1.31	-	29.91	71.90	"Loha, J Renew and Sust Energy 2013, 5, 043111"
132	rice husk	as received	-	14.83	49.07	3.79	0.63	0.09	46.42	21.68	9.95	61.68	16.65	-	-	-	800.00	continuous	slightly above atmospheric	-	0.50	0.30	air + steam	bubbling fluidised bed	silica sand	-	laboratory scale	52.50	11.60	14.70	18.40	2.80	-	4.13	-	1.34	-	37.31	73.30	"Loha, J Renew and Sust Energy 2013, 5, 043111"
133	rice husk	as received	-	14.83	49.07	3.79	0.63	0.09	46.42	21.68	9.95	61.68	16.65	-	-	-	800.00	continuous	slightly above atmospheric	-	0.20	0.35	air + steam	bubbling fluidised bed	silica sand	-	laboratory scale	57.30	7.60	13.70	18.60	2.80	-	3.57	-	1.42	-	34.06	77.10	"Loha, J Renew and Sust Energy 2013, 5, 043111"
