Catalyst,Inorganics determined by XRF (wt%),,,,,,,,
Catalyst,NiO,La₂O₃,SiO₂,Al₂O₃,Fe₂O₃,MgO,CaO,K₂O,"Others (e.g., Sr, Ti, etc.)"
SBC ash,–,–,66,15,3.8,3.7,2.3,1.4,7.8
1Ni-0.1La/SBC,41.2,7.3,37.7,7.7,2.5,1.4,0.4,0.7,1.1
