Experiment No.,Temperature (°C),Cotton stalk dosage (g),Reaction time (min),Initial pressure (MPa),Ni-La/SBC loading (g),H₂ yield (%)
9,380,0.5,20,1.5,0.5,113.4
10,380,1,30,1.5,0.25,50.6
11,380,1.5,0,1.5,1,64.9
12,380,2,10,1.5,0.75,46.5
13,400,0.5,30,1.5,0.75,135.5
14,400,1,20,1.5,1,94.1
15,400,1.5,10,1.5,0.25,35.7
16,400,2,0,1.5,0.5,39.7
K₁,68.9,124.5,52.3,–,43.1,–
K₂,68.9,72.3,41.1,–,76.5,–
K₃,76.2,50.3,103.7,–,91,–
K₄,76.2,43.1,93,–,79.5,–
R,7.4,81.4,40.7,–,36.4,–
