Ultimate analysis (wt%),,,
Carbon,43.5,40.4,36.7
Hydrogen,5.9,6.1,5.7
Nitrogen,0.6,0.5,0.6
Oxygen,43.3,41.8,47.9
Bio-compositional analysis (wt%),,,
Cellulose,32.9,31.5,36.1
Hemicellulose,16.4,21.3,26.1
Lignin,27.8,16.8,22.6
Proximate analysis (wt%),,,
Moisture,8.8,6.7,2.6
Ash,6.7,11.2,9.1
Volatile matter,67.6,66.4,72.2
Fixed carbon,16.9,15.7,16.1
