Name,MC,FC,VM,AC,C,H,N,S,O,Ref.
Polyethylene,0.02,0.00,99.40,0.60,85.00,14.20,0.00,0.20,0.00,[29]
Polypropylene,0.08,0.00,99.63,0.29,84.68,14.68,0.04,0.23,0.00,[29]
Polystyrene,0.24,0.00,99.58,0.18,90.10,16.81,0.00,0.08,0.00,[30]
