#,Plastic,Biomass,% Plastic,% Biomass,C (%),H (%),O (%),N (%),S (%),ASH (%),MC (%),VM (%),AIR (Kg/h),ER,FC (%),TEMPERATURE (°C),H2 (%),CO (%),CO2 (%),CH4 (%),N2 (%),Mass Flow Rate (Kg/h),Volumetric Flow Rate (m3/h),Gas Yield (Nm3/Kg),LHV (MJ/Nm3),H2/CO
115,PU,Sugarcane Straw,20.823,79.177,47.7844,6.4432,44.6994,1.0376,0.0354,9.4945,6.0407,76.2595,169.6878,0.3475,8.2053,969.6132,15.431,23.403,8.1602,0.1115,52.883,223.7443,198.2714,1.982714,4.655243,0.659359911
116,PP,Sorghum Bagasse,53.4538,46.5462,77.5388,11.4266,10.9321,0.0372,0.0652,2.8261,4.2048,86.0892,453.0483,0.3959,6.8799,971.7733,17.8625,22.3605,2.5173,0.2726,56.9774,516.9247,488.0633,4.880633,4.8441638,0.798841707
117,PU,Sunflower Seed Hulls,3.0712,96.9288,75.6834,3.2591,19.4694,1.5829,0.0052,0.9693,10.1959,72.6019,342.6894,0.4315,16.2329,651.8279,2.5276,16.8707,11.4212,2.1252,67.0526,407.0027,315.3506,3.153506,3.1595106,0.149821881
118,PS,Sorghum Stalk,72.2087,27.7913,77.8347,8.0404,13.2782,0.3616,0.485,1.5524,2.7834,89.7248,317.4266,0.2995,5.9394,680.5269,11.2622,19.1094,5.4688,3.808,60.2459,368.5434,323.8227,3.238227,4.987366,0.589353931
119,PP,Nectarine Stone,57.0438,42.9562,69.6705,10.5724,19.4435,0.2148,0.0988,0.7085,3.5938,87.0676,293.7275,0.2858,8.6301,678.3832,15.9516,18.8326,4.7034,4.6756,55.8085,347.0256,323.2993,3.232993,5.7695452,0.847020592
120,PET,Rubber Wood,8.8857,91.1143,51.9531,6.3492,41.5115,0.1862,0,4.4074,6.3754,75.2028,190.6412,0.3369,14.0144,688.2188,9.566,16.2583,12.4692,3.0187,58.6833,241.8611,199.6064,1.996064,4.1623684,0.588376399
121,PS,Cherry Stone,26.7279,73.2721,59.6969,6.8213,33.0275,0.3151,0.1392,0.7983,5.553,78.141,264.5652,0.3651,15.5077,657.6303,7.9723,15.1833,11.0505,3.3949,62.3587,317.6418,260.7611,2.607611,3.9894784,0.525070308
122,PET,Soy Peel,89.7004,10.2996,60.4061,4.5774,34.6904,0.3262,0,0.7437,1.356,92.3996,240.792,0.3524,5.5007,922.412,11.8528,30.4832,4.675,0.4457,52.5425,322.1262,281.7559,2.817559,5.2805462,0.388830569
123,PE,Rice Straw,28.3213,71.6787,60.7261,7.537,31.4761,0.2127,0.0481,3.7363,6.0961,82.8531,224.3373,0.304,7.3145,860.5049,18.2344,27.4866,3.4505,1.3789,49.4367,294.3122,278.8193,2.788193,5.926273,0.663392344
124,PE,Durian Shell,51.181,48.819,73.4482,9.8672,14.9474,1.6013,0.1358,3.2741,2.147,86.3272,368.5851,0.3502,8.2517,959.151,19.1392,24.7418,1.9589,0.4718,53.666,440.4475,423.7895,4.237895,5.3534048,0.7735573
125,PE,Spirulina Sp.,69.2023,30.7977,71.5913,9.6324,16.2897,2.1934,0.2932,0.6096,1.7707,92.352,341.2818,0.3245,5.2677,786.585,17.4009,25.5865,2.004,2.4561,52.5021,422.0229,402.2128,4.022128,5.98248,0.680081293
126,PS,Cotton Stalk,49.4599,50.5401,67.9846,7.6248,23.0571,0.6802,0.6534,9.3992,5.3224,78.657,349.2061,0.4338,6.6214,775.4855,9.8329,20.0406,6.5443,1.675,61.7926,408.0107,347.5986,3.475986,4.1867188,0.490648983
127,PET,Corn Cobs,51.3742,48.6258,55.0852,5.1925,39.4537,0.2686,0,0.2934,6.8149,82.2232,244.724,0.4131,10.6685,793.225,7.9577,18.4242,11.605,1.1406,60.8713,304.9465,247.0763,2.470763,3.5892156,0.431915633
128,PS,Nectarine Stone,96.5943,3.4057,88.7826,8.4195,2.7731,0.017,0.0078,0.2494,0.2849,98.8041,535.214,0.4169,0.6616,895.0544,12.7216,26.6004,1.5231,0.8892,58.2637,624.9047,563.8165,5.638165,5.0439168,0.478248447
129,PU,Sorghum Stalk,13.0656,86.9344,48.3166,7.0405,41.4236,1.6798,1.5395,4.4042,8.7851,68.0369,207.6808,0.3875,18.7738,982.5018,9.8294,13.0375,11.358,0.0065,65.292,239.9877,197.0171,1.970171,2.7066272,0.753932886
130,PET,Sugarcane Straw,34.3579,65.6421,49.6359,5.4013,44.8172,0.1457,0,7.8715,4.9767,78.8541,167.9022,0.3429,8.2977,837.2521,12.1696,23.5863,10.0831,1.0791,53.0805,228.304,194.33,1.9433,4.6725084,0.515960536
131,PP,Sugarcane Straw,2.492,97.508,44.1341,6.1567,49.5084,0.2008,0,11.6927,7.2854,71.2865,127.1583,0.3094,9.7354,713.3577,11.9055,18.5662,13.8736,2.9711,52.6794,177.3037,148.3926,1.483926,4.688789,0.64124592
132,PP,Cocoa Pod Husk,94.0227,5.9773,82.679,13.3569,3.856,0.095,0.0131,0.6436,0.7368,97.5155,450.9358,0.3303,1.1041,987.5487,23.5749,25.7013,0.3236,0.8476,49.5497,544.2457,558.7021,5.587021,6.0878938,0.917264885
133,PP,Rice Husk,66.7874,33.2126,73.44,10.5095,15.813,0.2078,0.0297,1.4281,2.6238,90.4662,459.6848,0.4237,5.4819,681.5544,10.1302,17.5713,6.181,3.3238,62.7843,520.9338,449.6054,4.496054,4.4979658,0.576519666
134,PE,Colza seed,85.2129,14.7871,79.8019,10.505,8.5707,0.9775,0.1449,1.3537,1.196,94.5737,503.3872,0.4186,2.8766,801.4867,13.2615,21.8607,3.4126,1.7109,59.7337,576.1603,518.489,5.18489,4.7991924,0.606636567
135,PU,Sunflower Seed Hulls,89.0344,10.9656,66.8206,7.712,21.4122,3.9039,0.1514,0.1097,1.6855,95.047,332.5825,0.3622,3.1578,827.4204,14.6585,26.2166,2.9176,1.5988,54.5795,414.5729,379.6072,3.796072,5.45878,0.559130475
136,PP,Coconut Shell,29.8885,70.1115,57.8341,8.3747,33.658,0.1332,0,2.6642,10.026,83.7249,217.1654,0.3091,3.5849,919.8502,21.0216,27.7421,2.9393,0.8548,47.4405,287.4332,281.1465,2.811465,6.0718558,0.757750855
137,PP,Colza seed,96.2233,3.7767,83.9979,13.5724,2.2257,0.2039,0,0.3457,0.3055,98.1373,474.9006,0.3381,1.2115,883.9081,21.4731,24.772,0.6873,1.6173,51.4481,565.1283,566.8394,5.668394,6.0193602,0.866829485
138,PP,Chlorella Vulgaris,61.189,38.811,72.5738,10.9974,12.3536,3.8617,0.2135,0.7473,3.5603,89.1048,484.1923,0.4392,6.5876,670.2233,9.467,15.5076,6.6181,3.3926,64.9784,540.0093,461.8766,4.618766,4.1909444,0.610474864
139,PP,Colza seed,77.6545,22.3455,76.3179,12.2076,10.2679,1.2067,0,2.0456,1.8074,91.4375,475.5915,0.3972,4.7095,850.4798,16.8551,21.0676,2.9925,1.3016,57.7812,541.5828,506.7736,5.067736,4.9408412,0.800048416
