#,Plastic,Biomass,% Plastic,% Biomass,C (%),H (%),O (%),N (%),S (%),ASH (%),MC (%),VM (%),AIR (Kg/h),ER,FC (%),TEMPERATURE (°C),H2 (%),CO (%),CO2 (%),CH4 (%),N2 (%),Mass Flow Rate (Kg/h),Volumetric Flow Rate (m3/h),Gas Yield (Nm3/Kg),LHV (MJ/Nm3),H2/CO
357,PP,Sorghum Stalk,46.8294,53.1706,64.3691,10.1303,23.8808,0.6917,0.928,2.6937,5.3252,80.3837,371.3468,0.4118,11.5974,974.4474,15.6179,18.9564,4.8791,0.1048,60.2833,418.0709,378.9174,3.789174,4.112758,0.823885337
358,PE,Soy Peel,28.8122,71.1878,56.8389,7.997,32.9899,2.1252,0.049,5.1404,8.0704,80.3837,265.5371,0.3899,6.4055,910.3644,15.3098,22.0754,5.6112,0.5024,56.4898,323.0317,291.1243,2.911243,4.614818,0.693523107
359,PE,Colza seed,39.1867,60.8133,60.5722,8.3418,27.6532,3.3662,0.0666,5.5671,4.9187,77.7462,241.6792,0.3136,11.768,752.7526,15.8207,21.9053,5.0779,2.614,54.5631,300.7508,276.2756,2.762756,5.4045154,0.722231606
360,PS,Plum Stone,17.7171,82.2829,55.6577,6.9361,36.5505,0.7159,0.1399,17.4922,6.0527,73.4059,162.5215,0.2928,3.0492,709.4525,14.3819,27.0536,5.5802,3.8175,49.1247,224.8454,203.9446,2.039446,6.3286638,0.531607623
361,PET,Sorghum Stalk,52.9222,47.0778,54.4188,5.5202,38.6106,0.6287,0.8216,2.385,4.8261,80.0287,180.6822,0.3016,12.7602,982.371,15.1564,26.6412,6.5222,0.117,51.3166,243.1728,217.0077,2.170077,5.0355684,0.568908307
362,PU,Durian Shell,51.6507,48.3493,63.0888,8.3719,24.7544,3.6488,0.1362,3.2426,2.4362,85.3895,261.4651,0.3076,8.9317,659.0882,11.8807,18.0236,6.9504,4.5897,58.516,317.1857,278.9339,2.789339,5.1972018,0.659174638
363,PS,Cocoa Pod Husk,19.7269,80.2731,47.7838,6.1715,44.5918,1.2763,0.1766,8.6823,9.8947,72.9086,144.1652,0.3099,8.5144,705.7731,12.1462,21.1599,11.0331,3.191,52.4055,199.5385,170.4369,1.704369,5.120315,0.574019726
364,PET,Corn Cobs,98.1191,1.8809,61.8959,4.3668,33.6975,0.0398,0,0.0113,0.4655,94.2078,271.5797,0.3832,5.3154,825.2234,8.9214,27.7731,6.3179,1.119,55.8675,353.7367,298.4082,2.984082,4.8635238,0.321224494
365,PU,Hazelnut Shell,85.6966,14.3034,63.5604,7.84,24.6544,3.7995,0.1457,0.1534,1.7388,95.858,275.0035,0.3155,2.2498,855.9043,18.2444,28.9154,1.773,1.6116,49.425,362.218,347.5237,3.475237,6.1906884,0.630957898
366,PS,Soy Peel,25.1539,74.8461,56.403,7.1525,34.2737,2.1708,0,5.4549,8.4851,79.3313,211.0595,0.3289,6.7287,853.3783,16.3964,25.5199,4.9465,1.2739,51.8614,274.931,252.6716,2.526716,5.4423748,0.642494681
367,PP,Sorghum Stalk,89.466,10.534,81.3617,13.1131,5.2043,0.137,0.1838,0.5337,1.055,95.7127,370.8811,0.2781,2.6986,923.5637,25.6587,24.7047,0.413,1.5222,47.6737,452.3987,477.6907,4.776907,6.4288794,1.038616134
368,PP,Cocoa Beans Husk,26.9451,73.0549,54.6505,8.0348,35.1742,1.9286,0.2119,5.8444,8.1172,76.163,194.3844,0.3004,9.8754,819.3996,18.3535,23.4398,5.3494,1.7792,51.0212,251.9816,236.4428,2.364428,5.5725464,0.783005828
369,PE,Cocoa Beans Husk,30.1704,69.8296,56.1418,7.492,34.2055,1.9069,0.2538,5.5864,7.7588,77.3382,267.3549,0.409,9.3166,795.2665,11.2594,18.0544,8.4393,1.4475,60.7408,319.1297,272.3315,2.723315,4.0090746,0.623637451
370,PU,Cotton Husk,23.5396,76.4604,53.9995,8.3704,35.5298,2.0603,0.04,2.1563,4.7268,82.7037,181.5348,0.2595,10.4132,835.8477,22.2358,25.2067,4.2164,1.8066,46.5208,245.7914,242.7966,2.427966,6.2242734,0.882138479
371,PU,Colza seed,43.8952,56.1048,53.6331,7.2813,34.1377,4.8733,0.0746,5.1361,4.8012,78.5591,165.2232,0.2559,11.5036,666.0536,14.335,21.2509,7.4973,5.0072,51.8783,224.5518,202.2423,2.022423,6.018371,0.674559666
372,PP,Beetroot Pellets,23.4208,76.5792,49.8588,7.2489,41.5905,0.9113,0.3906,0.6194,5.3891,83.8153,252.649,0.4207,10.1762,821.396,10.8894,15.908,10.6317,0.9564,61.5117,302.456,253.2008,2.532008,3.5228544,0.68452351
373,PU,Cocoa Beans Husk,99.9983,0.0017,65.6896,8.28,21.6605,4.2,0.17,0.0001,0.6001,97.9097,293.7494,0.3142,1.4901,841.8266,18.4146,28.8373,1.3495,1.8961,49.4691,384.4719,371.1939,3.711939,6.3010804,0.638568798
374,PE,Olive Pomace,85.3598,14.6402,81.5874,10.4697,7.5316,0.2512,0.1601,0.7185,1.0845,96.7701,332.0859,0.2689,1.4269,671.1274,14.6789,16.4519,4.4881,4.7102,59.6313,371.6859,342.1069,3.421069,5.3445122,0.892231292
375,PU,Cocoa Pod Husk,83.6142,16.3858,61.0479,7.8409,27.1607,3.7723,0.1782,1.7642,2.5214,92.7306,333.2715,0.41,2.9838,965.2511,14.9982,23.9741,4.1548,0.2029,56.6366,404.5237,366.2576,3.662576,4.7131804,0.625600127
376,PE,Cotton Husk,13.3397,86.6603,55.1466,8.772,34.8161,1.2426,0.0227,2.4439,5.1974,80.9512,263.9808,0.3658,11.4075,841.7576,15.566,18.7588,6.8226,1.148,57.6976,313.9726,282.397,2.82397,4.4557208,0.829797215
377,PU,Nectarine Stone,18.8438,81.1562,51.7961,6.6082,40.1798,1.1972,0.2187,1.3386,6.9027,75.7122,263.9419,0.4454,16.0465,805.6809,7.4406,11.4068,13.2197,0.6594,67.2146,303.9847,242.3195,2.423195,2.4769068,0.652295122
378,PU,Sorghum Stalk,45.6825,54.3175,54.8349,7.5055,34.0085,2.6253,1.0257,2.7518,5.7141,79.2451,223.7016,0.331,12.289,754.964,13.6293,19.6522,7.5953,2.3165,56.5364,279.3068,246.248,2.46248,4.7774486,0.693525407
379,PP,Hazelnut Shell,54.5402,45.4598,69.7588,9.9195,19.6853,0.6364,0,0.4876,3.8924,92.2548,376.0189,0.3739,3.3652,983.4002,18.8264,24.9328,2.2859,0.2807,53.6733,450.8026,430.8815,4.308815,5.2752746,0.75508567
380,PP,Plum Stone,15.4687,84.5313,53.996,7.7215,37.4034,0.7354,0.1437,17.9337,6.218,72.6384,233.8618,0.422,3.2099,920.0033,14.2363,21.9807,6.4907,0.3553,56.9055,285.7085,253.0253,2.530253,4.434286,0.647672731
381,PE,Chlorella Vulgaris,67.5577,32.4423,74.9885,9.6752,11.6731,3.3699,0.2933,0.6247,2.9761,91.1348,306.9361,0.2799,5.2644,974.6931,23.0724,27.6154,0.3165,1.0317,47.913,390.2457,398.5975,3.985975,6.3407082,0.835490342
382,PET,Elephant Grass,84.948,15.052,59.122,4.464,36.0831,0.331,0,0.0917,1.9424,91.1743,174.6993,0.2648,6.7916,922.4261,15.6169,36.5125,2.4024,0.8245,44.6428,260.3477,240.7573,2.407573,6.5823712,0.427713797
383,PU,Cherry Stone,24.5473,75.4527,52.7725,6.7181,38.9689,1.3554,0.1851,0.7671,5.8655,77.0325,185.8959,0.2992,16.3349,971.6921,16.8329,22.2345,7.1954,0.1252,53.555,237.5811,214.9315,2.149315,4.6643218,0.757062223
384,PU,Castor Seed Hull,82.5785,17.4215,61.9514,7.7939,26.6077,3.5066,0.1404,0.3505,1.065,94.004,348.74,0.4113,4.5805,941.0598,14.3598,23.2016,4.5359,0.2988,57.5791,419.4858,376.5347,3.765347,4.5812304,0.618914213
385,PP,Açaí Seed,97.5311,2.4689,84.624,13.6662,1.6905,0.0193,0,0.3508,0.2284,98.7186,413.0769,0.2913,0.7022,768.4289,21.1855,21.6206,1.4785,3.1367,52.5739,481.1975,482.2386,4.822386,6.1351682,0.979875674
386,PP,Peach Stone,51.9159,48.0841,64.0011,10.5373,23.4226,1.8947,0.1443,1.2124,2.6606,85.1382,332.0862,0.3486,10.9888,825.8552,17.9383,20.1671,4.2157,1.5942,56.0557,389.3964,366.1938,3.661938,5.0491146,0.889483366
387,PP,Beetroot Pellets,50.9734,49.0266,62.7038,9.6239,26.8389,0.5834,0.25,0.3965,3.4502,89.4585,252.4265,0.2823,6.6948,685.9604,16.4778,21.0923,4.9514,4.5678,52.8463,314.496,293.9959,2.939959,6.0725046,0.78122348
388,PU,Cotton Stem,74.1887,25.8113,61.3168,7.7009,27.3875,3.4099,0.1849,1.2041,4.203,87.7206,264.5559,0.3303,6.8723,850.8313,16.7949,25.6642,3.5872,1.3766,52.5362,337.0009,313.9772,3.139772,5.5403612,0.654409645
389,PET,Coffee Husk,96.0997,3.9003,61.4053,4.4069,34.1584,0.0294,0,0.0884,0.566,93.9389,192.3193,0.2743,5.4067,678.2134,8.2629,24.3096,9.5948,3.4154,54.4133,261.2569,216.9615,2.169615,5.178116,0.339902754
390,PS,Hazelnut Shell,43.2767,56.7233,67.852,6.629,24.7249,0.7941,0,0.695,4.8568,90.5894,246.7453,0.2915,3.8588,863.5219,16.9831,32.2046,1.0214,1.7414,48.0477,332.4987,316.4322,3.164322,6.5153756,0.52735013
391,PE,Soybean Cake,26.0126,73.9874,63.7185,7.777,21.5319,6.9284,0.0442,3.8251,24.4158,64.3774,237.2664,0.3621,7.3817,794.4163,13.8455,23.051,4.2124,1.8567,57.0235,291.1339,262.4349,2.624349,5.0644386,0.600646393
392,PET,Cotton Stalk,90.6349,9.3651,60.6784,4.5619,34.4849,0.1538,0.1211,1.7234,1.1766,91.2507,232.642,0.3415,5.8493,695.5367,7.7509,26.0867,7.9734,2.9007,55.2553,310.6945,258.6185,2.586185,5.162472,0.297120755
393,PU,Peach Stone,88.3765,11.6235,62.7881,8.1267,24.7303,4.1698,0.1851,0.2931,1.1733,94.6233,297.8259,0.34,3.9103,793.2747,15.8501,25.5184,3.3246,2.0985,53.1711,377.4412,349.9548,3.499548,5.6783922,0.621124365
394,PS,Pistachio Soft Shell,17.1407,82.8593,53.1868,6.0634,39.308,1.4418,0,16.2084,8.2445,63.1265,171.7395,0.3457,12.4206,869.7746,12.9109,21.499,8.71,0.7041,56.1748,219.1945,189.2161,1.892161,4.355319,0.600534909
395,PP,Sugarcane Straw,84.5459,15.4541,78.9944,12.6307,8.3431,0.0318,0,1.8532,1.1547,95.0284,371.2557,0.2948,1.9637,835.2841,22.6464,24.7055,0.8789,2.315,49.4511,452.0621,460.8136,4.608136,6.3874742,0.916654186
396,PE,Cotton Stem,91.9443,8.0557,82.9806,10.784,5.7758,0.2848,0.1747,0.3758,1.1728,96.6331,347.4543,0.2732,1.8183,745.4051,18.564,21.8853,2.1147,3.3408,54.0604,407.4137,394.8662,3.948662,5.9584662,0.8482406
397,PS,Cocoa Pod Husk,77.9665,22.0335,78.5578,7.8587,13.1847,0.3503,0.0485,2.5282,2.7159,92.4189,301.7035,0.2867,2.337,767.7252,15.2941,25.9352,2.1949,2.7,53.8632,369.6181,344.2646,3.442646,5.886198,0.58970434
398,PU,Cotton Stalk,3.5671,96.4329,46.9372,6.825,43.5374,1.4476,1.2527,17.7454,10.1768,59.3907,134.853,0.3133,12.6871,853.958,15.4135,19.8462,9.568,0.9607,53.7938,176.4776,155.4474,1.554474,4.5092098,0.776647419
399,PET,Açaí Seed,73.8189,26.1811,58.3678,4.8763,36.5289,0.227,0,3.7203,2.5768,87.663,210.2741,0.3312,6.0399,760.7358,10.5102,28.52,6.4597,2.1386,52.3693,286.8646,246.7557,2.467557,5.4942404,0.368520337
400,PP,Safflower Seed,80.0213,19.9787,78.3567,12.4609,8.583,0.5994,0,0.281,1.886,91.9707,335.2677,0.2669,5.8623,875.8493,25.3001,24.775,0.605,1.9911,47.326,413.9895,435.7754,4.357754,6.5668746,1.021194753
401,PS,Chlorella Vulgaris,70.136,29.864,78.8221,7.9006,10.1416,2.9715,0.1643,0.7153,2.7396,91.7115,325.8053,0.2993,4.8336,939.986,18.3976,28.6843,0.4506,1.1123,51.3257,407.3612,394.0668,3.940668,5.999366,0.64138222
402,PU,Açaí Seed,67.8917,32.1083,59.8969,7.6784,29.2071,3.1022,0.1154,4.5626,3.3773,88.2584,287.5028,0.3796,3.8017,998.5851,16.5288,25.4628,3.6752,0.1247,54.1852,357.4832,329.8754,3.298754,5.0380658,0.649135209
403,PET,Rubber Wood,37.9087,62.0913,55.2075,5.7072,38.9487,0.1367,0,3.0035,4.4115,81.4102,273.9021,0.4485,11.1748,736.4817,6.4702,14.3291,13.2123,1.6172,64.3695,329.3628,261.3158,2.613158,3.0832058,0.451542665
404,PU,Banana Stems,99.3831,0.6169,65.5251,8.2624,21.8643,4.1791,0.169,0.0219,0.6533,97.7717,300.676,0.323,1.5531,963.0403,20.1437,29.1345,1.0662,0.6897,48.9348,391.6302,383.8992,3.838992,6.0933792,0.691403662
405,PP,Nectarine Stone,39.6095,60.3905,63.2216,9.2422,27.0954,0.302,0.1389,0.9961,5.0524,82.0218,321.4192,0.371,11.9297,850.6491,15.5337,19.9587,5.3642,1.1056,58.0093,375.2047,340.4567,3.404567,4.5882406,0.778292173
406,PE,Soy Peel,57.6891,42.3109,68.6598,9.2963,20.5975,1.3483,0.0981,3.0552,4.7967,88.3328,364.7169,0.3898,3.8153,701.5369,11.6404,20.8641,5.2232,3.2285,59.0227,432.2894,380.9273,3.809273,5.0418428,0.557915271
407,PET,DDGS,75.4033,24.5967,59.7357,5.031,33.7873,1.249,0.1971,3.0291,2.2772,87.819,269.0503,0.4001,6.8747,998.3644,10.7111,25.9853,6.1166,0.0403,57.1014,340.0297,290.846,2.90846,4.445374,0.412198435
408,PE,DDGS,60.3438,39.6562,72.6132,9.6014,15.2619,2.1031,0.4203,4.8837,3.4162,86.8043,396.9479,0.3956,4.8958,916.4858,16.0367,23.4442,2.8884,0.6265,56.9403,465.5454,430.5765,4.305765,4.9102198,0.68403699
409,PE,Plum Stone,41.8546,58.1454,64.0243,8.5253,26.6866,0.5938,0.17,12.3358,4.2771,81.224,280.0817,0.3675,2.1631,921.6,17.4141,26.0215,3.0149,0.6744,52.8433,347.507,326.0547,3.260547,5.400867,0.669219684
410,PE,Sorghum Bagasse,12.274,87.726,70.494,8.9573,20.309,0.096,0.1438,5.3265,7.9247,74.2834,285.3966,0.3196,12.4654,820.2523,17.1883,24.0661,3.1338,1.782,53.8004,346.3241,325.697,3.25697,5.526621,0.714212107
411,PS,Rice Husk,30.421,69.579,61.5808,5.2234,32.6982,0.4353,0.0622,3.0527,5.4967,80.6659,279.4996,0.4112,10.7847,804.7563,8.1908,20.64,9.0722,1.1036,60.978,342.0637,281.8416,2.818416,3.8803352,0.396841085
412,PP,Cotton Husk,25.6424,74.3576,59.4162,9.7962,29.7455,1.0422,0,2.097,4.4595,83.5295,333.4427,0.4025,9.914,964.2638,16.4168,19.3477,5.2543,0.1463,58.8341,382.7213,349.169,3.49169,4.2632,0.848514294
413,PP,Beetroot Pellets,62.4302,37.5698,68.045,10.6115,20.7049,0.4471,0.1916,0.3039,2.6439,91.805,431.2693,0.4228,5.2472,658.2002,9.7162,15.9974,7.2291,3.8741,63.146,490.2408,419.7061,4.197061,4.4519498,0.607361196
414,PS,Pistachio Soft Shell,87.6059,12.3941,84.6639,8.133,6.9875,0.2157,0,2.5945,1.2332,94.3144,484.2774,0.4141,1.8579,717.783,8.9018,22.5712,4.1472,2.6288,61.748,559.674,481.6128,4.816128,4.746476,0.394387538
415,PS,Rice Straw,30.251,69.749,62.6827,6.8179,30.3503,0.1491,0,3.6962,5.932,83.2598,206.382,0.2782,7.112,975.9998,20.4834,31.6706,1.64,0.5347,45.6703,283.4259,277.5862,2.775862,6.3941254,0.646763876
416,PET,Açaí Seed,2.5747,97.4253,48.0215,6.353,44.864,0.7615,0,13.8441,9.0172,68.5411,187.4458,0.4172,8.5976,837.2353,10.5606,17.4672,11.5385,0.7736,59.6589,233.4335,193.6377,1.936377,3.6183608,0.604596043
417,PE,Plum Stone,40.9908,59.0092,63.6981,8.4856,27.0468,0.5995,0.17,12.5191,4.3407,80.9452,210.4605,0.2789,2.195,790.4507,19.4966,29.1517,1.839,2.7858,46.6876,283.6175,277.5205,2.775205,6.7760634,0.668798046
418,PU,Olive Pomace,99.8458,0.1542,65.675,8.2768,21.684,4.1943,0.1699,0.0076,0.6104,97.8795,381.2131,0.408,1.5025,789.9393,12.6539,22.9287,4.4248,1.8126,58.1495,459.0929,408.0892,4.080892,4.9045482,0.551880394
419,PP,Corn Cobs,47.8191,52.1809,65.7521,9.806,24.1705,0.2713,0,0.3149,7.1974,83.6118,402.1814,0.4425,8.8759,780.063,11.3887,16.6156,6.9454,1.6393,63.4088,451.3466,389.5943,3.895943,3.9104146,0.685422133
420,PU,Soybean Cake,98.5344,1.4656,65.5464,8.255,21.7565,4.2746,0.1675,0.0758,1.0748,97.2352,255.1288,0.2753,1.6142,673.353,13.6457,19.2342,5.7657,4.5144,56.7927,312.2479,281.6514,2.816514,5.5134,0.709449834
421,PE,Cotton Stalk,4.6945,95.3055,48.1089,6.9791,42.3794,1.2925,1.2401,17.5379,10.0367,59.9382,131.41,0.2922,12.4872,679.2917,12.5174,17.7679,11.2171,3.8491,54.2137,174.9894,150.1754,1.501754,4.9686124,0.704495185
422,PU,Olive Pomace,89.3017,10.6983,64.6508,8.0587,23.3245,3.8032,0.1628,0.525,1.3282,95.7861,296.7316,0.3308,2.3607,823.2143,16.9048,27.5472,2.254,1.8744,51.3872,381.7724,360.2124,3.602124,5.9677008,0.613666725
423,PET,Sorghum Stalk,46.2875,53.7125,53.3265,5.6875,39.3356,0.713,0.9374,2.7211,5.4767,77.9624,164.2622,0.2814,13.8398,813.5367,14.1488,24.445,8.2521,1.5795,51.2678,224.737,197.6664,1.976664,5.1736014,0.578801391
424,PE,Cherry Stone,50.3974,49.6026,67.4237,8.7248,23.3525,0.3191,0.1799,0.5043,3.7592,85.2283,414.0435,0.4466,10.5082,818.297,10.726,17.4016,6.9911,1.0969,63.7528,466.6093,398.9826,3.989826,3.7436998,0.616380103
425,PE,Castor Seed Hull,74.4989,25.5011,75.3333,9.7439,14.5836,0.2126,0.1266,0.5131,0.8338,93.7343,339.9488,0.3046,4.9188,991.4282,22.0939,28.6699,0.3356,0.8296,48.0509,430.8785,434.5604,4.345604,6.2955454,0.770630522
426,PS,Coconut Shell,66.0266,33.9734,75.189,7.6625,17.084,0.0645,0,1.423,4.8582,92.0541,293.7028,0.2989,1.6647,816.7767,16.2761,28.7231,1.4128,2.1616,51.4242,371.495,350.6241,3.506241,6.1507822,0.56665541
427,PP,Açaí Seed,10.1059,89.8941,51.479,7.1586,40.6605,0.7019,0,12.774,8.3152,71.0485,167.0647,0.3174,7.8623,864.8499,17.2669,24.4394,6.489,1.112,50.691,221.4193,203.1603,2.031603,5.3422856,0.706518982
428,PET,Soy Peel,21.0467,78.9533,48.6488,6.2025,42.8523,2.2963,0,5.7011,8.995,77.1326,142.856,0.2851,8.1713,855.7636,17.2577,26.4196,7.1353,1.2572,47.9283,203.6935,186.223,1.86223,5.6427788,0.653215794
429,PE,Banana Stems,11.7346,88.2654,44.4785,6.1111,48.6427,0.7477,0.0199,3.14,8.1687,78.3247,156.7392,0.3468,10.3666,766.2053,11.216,17.2759,13.665,1.8348,55.9987,208.5665,172.735,1.72735,4.0449498,0.649228115
430,PET,Cotton Husk,71.2059,28.7941,58.781,5.504,35.2897,0.4254,0,0.812,1.8764,89.8907,250.3997,0.3632,7.4209,935.6463,12.8916,26.8359,5.7121,0.3093,54.2503,323.4609,283.895,2.83895,4.8843456,0.480386348
431,PS,Cotton Stem,53.9486,46.0514,71.1106,7.3639,20.8961,0.5245,0.1049,2.2562,6.7047,80.7499,383.1781,0.4311,10.2892,936.4668,11.5069,21.564,5.2396,0.2049,61.4665,441.7384,383.2312,3.832312,4.0331634,0.533616212
432,PS,Durian Shell,3.4402,96.5598,61.3383,8.4709,27.1395,2.9547,0.0966,6.4828,4.2465,72.9699,312.8858,0.3999,16.3008,826.0941,12.0152,16.0499,7.4865,1.0359,63.3912,354.7791,306.2719,3.062719,3.6907812,0.748615256
433,PET,Cotton Husk,82.3769,17.6231,60.0958,5.0499,34.5821,0.2722,0,0.497,1.2299,91.7526,205.7266,0.2944,6.5205,760.1528,12.2585,31.4579,4.4659,2.4373,49.3778,288.5258,256.1403,2.561403,6.1601668,0.38967954
434,PP,Cocoa Pod Husk,76.6352,23.3648,74.2982,11.9224,13.3565,0.3715,0.0514,2.5156,2.88,91.743,441.754,0.3892,2.8614,926.4835,18.7843,22.7315,2.3945,0.6513,55.43,511.9348,489.638,4.89638,5.1260388,0.826355498
435,PU,Sorghum Bagasse,63.7195,36.2805,66.6468,8.4119,22.0769,2.7052,0.1592,2.2028,3.6596,88.034,353.5478,0.3933,6.1036,745.1803,11.8456,21.0967,5.3745,2.3511,59.3006,420.4129,369.3472,3.693472,4.7792028,0.56149066
436,PS,Castor Seed Hull,74.1587,25.8413,78.321,7.72,13.9021,0.0569,0,0.6682,0.8449,93.5176,467.9324,0.4322,4.9693,937.03,12.2644,24.3419,3.3611,0.3233,59.7086,543.506,481.0675,4.810675,4.507376,0.503839059
437,PE,Cotton Stem,32.1431,67.8569,60.715,7.6961,30.5393,0.8404,0.2092,3.1656,9.8793,71.7876,229.4946,0.3185,15.1675,655.9882,10.7196,17.8345,8.5507,4.3081,58.5273,281.1813,241.6507,2.416507,4.9471636,0.601059744
438,PU,Sorghum Stalk,55.5343,44.4657,56.8038,7.646,31.7688,2.9109,0.8705,2.2527,4.7865,82.6305,212.62,0.2952,10.3303,994.8432,20.7202,26.2904,3.4043,0.2142,49.1602,278.8093,269.8581,2.698581,5.6270556,0.788127986
439,PP,Peach Stone,92.2773,7.7227,82.0975,13.318,4.2571,0.3043,0.0232,0.1947,0.4273,97.1934,612.4947,0.4484,2.1846,955.3155,16.3505,20.4487,2.911,0.2819,60.0044,676.6734,626.8873,6.268873,4.4433104,0.799586282
440,PU,Nectarine Stone,97.5943,2.4057,65.2781,8.2304,22.209,4.111,0.1714,0.0397,0.7867,97.2522,338.9591,0.3668,1.9214,782.5689,14.3323,25.0083,3.4207,2.1337,55.0722,420.7433,383.6681,3.836681,5.4627988,0.57310173
441,PE,Durian Shell,97.9115,2.0885,85.4439,11.143,2.9751,0.2695,0.1685,0.1401,0.0918,99.396,443.221,0.3305,0.3721,808.8636,17.5736,24.7522,1.2265,2.3001,54.1216,524.3742,503.0101,5.030101,5.8401618,0.709981335
442,PS,Plum Stone,50.9657,49.0343,69.6156,7.5668,22.3076,0.4266,0.0834,10.5048,3.6069,84.0712,362.0543,0.438,1.8171,877.0016,11.9344,23.7585,4.47,0.7475,59.0752,429.115,376.6467,3.766467,4.5500912,0.502321274
443,PU,Rice Husk,19.9416,80.0584,52.3826,4.6871,41.4864,1.3384,0.1055,3.4425,6.4442,77.4071,166.4296,0.3172,12.7062,665.2118,7.5213,19.436,13.6186,3.3142,56.0692,228.4244,183.8981,1.838981,4.44772,0.386977773
444,PE,Chlorella Vulgaris,47.5438,52.4562,68.2078,8.7346,17.369,5.3192,0.3693,1.01,4.8121,85.6782,281.4969,0.2978,8.4997,987.6629,21.8953,27.5931,0.9461,0.5382,48.9588,361.0315,361.0757,3.610757,6.0340986,0.793506348
445,PE,Corn Cobs,37.526,62.474,62.0025,8.0138,29.5162,0.4037,0.0638,0.377,8.6171,80.6579,257.9741,0.3312,10.348,697.4019,12.7268,21.2238,6.412,3.4414,56.1765,318.9442,282.3588,2.823588,5.2807144,0.599647565
446,PET,Colza seed,40.7882,59.2118,51.5296,5.6164,39.6441,3.2099,0,5.4205,4.8748,76.174,199.3596,0.3629,13.5307,880.4537,11.1727,19.4897,10.1437,0.4367,58.7564,252.5462,212.1772,2.121772,3.8186924,0.573261774
447,PP,Nectarine Stone,86.0545,13.9455,80.4016,12.786,6.7107,0.0697,0.0321,0.23,1.1667,95.4639,348.151,0.2662,3.1394,891.8768,25.7382,24.5377,0.5247,1.8373,47.3548,426.5953,451.3341,4.513341,6.5292292,1.048924716
448,PU,Rice Husk,67.1968,32.8032,60.2374,6.8078,29.7837,3.0275,0.1436,1.4105,2.9946,89.5092,248.5605,0.3277,6.0857,807.0994,14.8628,26.7292,4.1404,1.8306,52.4021,324.2771,295.5384,2.955384,5.6284164,0.55605106
449,PP,Spirulina Sp.,55.8537,44.1463,65.1202,10.4331,21.2593,2.9357,0.2516,0.8738,2.5381,88.7777,406.9662,0.4175,7.8104,667.3061,10.1834,15.2103,7.3272,3.5627,63.6674,461.1924,395.8613,3.958613,4.2917516,0.669506847
450,PS,Cherry Stone,38.8547,61.1453,64.7454,7.0986,27.7769,0.2629,0.1162,0.6993,4.634,81.7256,221.585,0.2711,12.9411,803.3532,17.4942,27.8428,3.192,2.12,49.3203,292.2658,276.1419,2.761419,6.1565264,0.628320428
451,PE,Chlorella Vulgaris,34.4564,65.5436,63.7738,8.1195,21.0937,6.5939,0.4191,1.262,6.0126,82.1101,239.3952,0.2817,10.6153,971.1735,22.0654,27.3835,1.4291,0.5713,48.4628,313.6644,313.2797,3.132797,6.0379096,0.805791809
452,PE,Sorghum Bagasse,67.4132,32.5868,80.2275,10.3669,9.0776,0.1676,0.1603,1.9786,2.9437,90.4347,377.0896,0.3217,4.643,834.4139,18.4675,26.3433,1.02,2.0798,52.0629,458.9218,444.7745,4.447745,6.0583142,0.701032141
453,PET,Rubber Wood,71.0368,28.9632,58.9222,4.9743,36.0234,0.0801,0,1.401,2.1699,88.4954,191.1288,0.2877,7.9337,945.3235,15.7444,32.9724,3.5052,0.4978,47.2792,270.4624,248.2418,2.482418,6.03313,0.477502396
454,PS,Banana Stems,36.0195,63.9805,57.4172,6.5377,35.5211,0.5241,0,2.3481,5.9212,84.218,232.4268,0.348,7.5127,681.7899,10.1354,21.6395,8.5063,3.4883,56.2255,298.7263,254.3897,2.543897,5.0700116,0.468374962
455,PS,Chlorella Vulgaris,64.9357,35.0643,76.8408,7.7968,11.6807,3.4889,0.1929,0.805,3.2166,90.3031,392.3643,0.3734,5.6753,666.7629,8.0945,17.4855,6.7406,3.4372,64.2034,449.6782,379.242,3.79242,4.3078966,0.462926425
456,PU,Olive Pomace,27.7093,72.2907,58.6679,6.7847,32.9074,1.5189,0.1211,3.5476,5.5211,83.5572,277.1473,0.3997,7.3741,871.6928,12.4081,22.1999,6.6331,0.7238,58.0077,339.241,295.1437,2.951437,4.3963826,0.558925941
457,PE,Olive Pomace,95.411,4.589,84.6031,10.9711,4.036,0.2229,0.1669,0.2252,0.3399,98.9739,347.6455,0.264,0.461,675.7629,15.4934,16.2896,3.9984,4.6861,59.4924,385.3575,358.923,3.58923,5.4034006,0.951122188
458,PS,Corn Cobs,47.9282,52.0718,68.0176,7.2488,24.4628,0.2708,0,0.4101,7.1823,83.7888,328.2886,0.386,8.6188,953.8714,14.0736,24.6441,4.0501,0.2526,56.9788,394.3576,353.9693,3.539693,4.7155362,0.571073807
459,PU,Banana Stems,82.3375,17.6625,60.969,7.7774,27.5107,3.6029,0.14,0.6283,2.1286,93.9424,360.5217,0.4391,3.3007,720.8498,9.5119,18.8406,7.5412,2.4188,61.6581,428.9741,363.4064,3.634064,4.2671312,0.504861841
460,PS,Safflower Seed,92.816,7.184,87.2769,8.382,4.1256,0.2155,0,0.2867,0.6782,97.071,475.7809,0.3794,1.9641,878.7089,13.8416,28.0336,0.8229,1.3418,55.9588,568.0487,522.1341,5.221341,5.5074908,0.493750357
