# Table 1: Performance metrics of different models on the testing set for syngas composition prediction.
Output component,Performance metric,BPANN,RF,SVM,XGboost,LR
H₂,R²,0.93,0.78,0.93,0.89,0.55
H₂,RSME,6.77,2.02,3.07,1.79,7.09
H₂,NRMSE,3.6,3.9,4.6,2.8,7.4
CO,R²,0.96,0.83,0.88,0.92,0.65
CO,RSME,3.02,2.43,2.41,1.65,5.77
CO,NRMSE,4.5,4.9,5.8,4.2,8.1
CH₄,R²,0.96,0.55,0.89,0.83,0.55
CH₄,RSME,0.54,1.26,1.34,1.25,3.62
CH₄,NRMSE,9.1,9.8,10.6,8.7,15.6
CO₂,R²,0.94,0.91,0.90,0.87,0.64
CO₂,RSME,3.58,4.79,2.15,1.72,5.07
CO₂,NRMSE,4.6,4.9,5.5,4.3,7.2

# Table 2: Comparison of R² and RMSE before and after hyperparameter optimization for XGBoost models.
Output,R² Train,R² Test,RMSE Train,RMSE Test,Optimized Parameter
H₂ (Before Optimization),0.997,0.89,0.58,1.79,learning rate = 0.06; n of estimators = 100
H₂ (After Optimization),0.999,0.93,0.90,1.63,Random state = 47
CO (Before Optimization),0.993,0.92,0.71,1.65,reg lambda = 0.8; learning rate = 0.2; n of estimators = 50
CO (After Optimization),0.997,0.94,0.70,1.55,Random state = 40
CH₄ (Before Optimization),0.996,0.83,0.68,1.25,reg lambda = 0.8; learning rate = 0.2; n of estimators = 120
CH₄ (After Optimization),0.999,0.86,0.53,1.21,Random state = 45
CO₂ (Before Optimization),0.996,0.87,0.69,1.72,reg lambda = 0; learning rate = 0.2; n of estimators = 120
CO₂ (After Optimization),0.999,0.86,0.56,1.61,Random state = 45
