# ID,Inputs,,,,,,,,,,,,,,,,,,,,,,,,,,,Outputs,,,,,,,,,,,,Other,
# ,Feedstock information,,,,Ultimate Analysis,,,,,Proximate Analysis,,,,Lignocellulosic Composition,,,Gasifier Conditions and Information,,,,,,,,,,,Gas Composition,,,,,,,,Yield and Process Efficiency,,,,Other information and notes,
,Type,Shape,Particle size [mm],LHV [MJ/kg wb],C [%daf],H [%daf],N [%daf],S [%daf],O [%daf],Ash [%db],Moisture [%wb],Volatile Matter [%db],Fixed carbon  [%db],Cellulose [%db],Hemicellulose [%db],Lignin [%db],Temperature [ï¿½C],Operation (Batch/Continuous),Operating Pressure [kPa],Residence time [min],Steam/Biomass [wt/wt],ER,Gasifying agent,Reactor Type,Bed material,Catalyst,Scale,N2 [vol.% db],H2 [vol.% db],CO [vol.% db],CO2 [vol.% db],CH4 [vol.% db],C2Hn [vol.% db],LHV [MJ/Nm3 db],Tar [g/Nm3 db],Gas yield [Nm3/kg wb],Char yield [g/kg wb],CGE [%] (wb),CCE [%] (wb),Reference,Notes
51,sewage sludge,spherical aggregate,3.5,11.50,48.75,8.57,7.32,1.61,33.75,44.00,6.95,56.00,-,-,-,-,850.00,continuous,-,80.00,0.00,0.40,air,bubbling fluidised bed,silica sand,-,laboratory scale,64.20,9.84,8.32,14.10,2.13,1.42,2.90,3.00,1.58,6.52,39.83,89.10,"de Andres, Fuel Processing Technology 2011, 92, 433-440",Average feedstock composition used when range given; oxygen content calculated by difference; yields converted from daf to non-daf; CGE not the one quoted in paper but rather calculated as defined in this work
52,sewage sludge,spherical aggregate,3.5,11.50,48.75,8.57,7.32,1.61,33.75,44.00,6.95,56.00,-,-,-,-,750.00,continuous,-,80.00,0.50,0.30,air + steam,bubbling fluidised bed,silica sand,-,laboratory scale,62.10,10.11,7.87,15.12,2.86,1.94,3.20,11.20,1.22,18.95,34.03,72.20,"de Andres, Fuel Processing Technology 2011, 92, 433-440",Average feedstock composition used when range given; oxygen content calculated by difference; yields converted from daf to non-daf; CGE not the one quoted in paper but rather calculated as defined in this work
53,sewage sludge,spherical aggregate,3.5,11.50,48.75,8.57,7.32,1.61,33.75,44.00,6.95,56.00,-,-,-,-,800.00,continuous,-,80.00,0.50,0.30,air + steam,bubbling fluidised bed,silica sand,-,laboratory scale,60.10,11.17,8.53,15.03,3.15,2.03,3.50,7.20,1.32,8.41,40.32,79.70,"de Andres, Fuel Processing Technology 2011, 92, 433-440",Average feedstock composition used when range given; oxygen content calculated by difference; yields converted from daf to non-daf; CGE not the one quoted in paper but rather calculated as defined in this work
54,sewage sludge,spherical aggregate,3.5,11.50,48.75,8.57,7.32,1.61,33.75,44.00,6.95,56.00,-,-,-,-,850.00,continuous,-,80.00,0.50,0.30,air + steam,bubbling fluidised bed,silica sand,-,laboratory scale,54.62,15.74,10.56,14.31,3.25,1.52,4.20,4.00,1.43,6.73,52.10,86.70,"de Andres, Fuel Processing Technology 2011, 92, 433-440",Average feedstock composition used when range given; oxygen content calculated by difference; yields converted from daf to non-daf; CGE not the one quoted in paper but rather calculated as defined in this work
55,sewage sludge,spherical aggregate,3.5,11.50,48.75,8.57,7.32,1.61,33.75,44.00,6.95,56.00,-,-,-,-,750.00,continuous,-,80.00,1.00,0.30,air + steam,bubbling fluidised bed,silica sand,-,laboratory scale,61.32,10.15,7.92,15.84,2.94,1.83,3.20,10.90,1.27,17.68,35.44,74.70,"de Andres, Fuel Processing Technology 2011, 92, 433-440",Average feedstock composition used when range given; oxygen content calculated by difference; yields converted from daf to non-daf; CGE not the one quoted in paper but rather calculated as defined in this work
56,sewage sludge,spherical aggregate,3.5,11.50,48.75,8.57,7.32,1.61,33.75,44.00,6.95,56.00,-,-,-,-,800.00,continuous,-,80.00,1.00,0.30,air + steam,bubbling fluidised bed,silica sand,-,laboratory scale,59.33,12.17,8.72,15.42,2.74,1.62,3.50,6.90,1.32,7.59,40.32,79.80,"de Andres, Fuel Processing Technology 2011, 92, 433-440",Average feedstock composition used when range given; oxygen content calculated by difference; yields converted from daf to non-daf; CGE not the one quoted in paper but rather calculated as defined in this work
57,sewage sludge,spherical aggregate,3.5,11.50,48.75,8.57,7.32,1.61,33.75,44.00,6.95,56.00,-,-,-,-,850.00,continuous,-,80.00,1.00,0.30,air + steam,bubbling fluidised bed,silica sand,-,laboratory scale,53.91,16.35,10.25,14.92,3.05,1.52,4.20,3.90,1.43,7.59,52.10,87.60,"de Andres, Fuel Processing Technology 2011, 92, 433-440",Average feedstock composition used when range given; oxygen content calculated by difference; yields converted from daf to non-daf; CGE not the one quoted in paper but rather calculated as defined in this work
58,sewage sludge,spherical aggregate,3.5,11.50,48.75,8.57,7.32,1.61,33.75,44.00,6.95,56.00,-,-,-,-,750.00,continuous,-,80.00,0.00,0.30,air,bubbling fluidised bed,silica sand,alumina (10% feedstock weight),laboratory scale,65.89,8.12,7.72,14.42,2.34,1.52,2.70,7.40,1.27,25.27,29.91,68.40,"de Andres, Fuel Processing Technology 2011, 92, 433-440",Average feedstock composition used when range given; oxygen content calculated by difference; yields converted from daf to non-daf; CGE not the one quoted in paper but rather calculated as defined in this work
59,sewage sludge,spherical aggregate,3.5,11.50,48.75,8.57,7.32,1.61,33.75,44.00,6.95,56.00,-,-,-,-,800.00,continuous,-,80.00,0.00,0.30,air,bubbling fluidised bed,silica sand,alumina (10% feedstock weight),laboratory scale,61.02,12.49,8.63,13.71,2.84,1.32,3.50,4.30,1.38,29.50,41.87,73.10,"de Andres, Fuel Processing Technology 2011, 92, 433-440",Average feedstock composition used when range given; oxygen content calculated by difference; yields converted from daf to non-daf; CGE not the one quoted in paper but rather calculated as defined in this work
60,sewage sludge,spherical aggregate,3.5,11.50,48.75,8.57,7.32,1.61,33.75,44.00,6.95,56.00,-,-,-,-,850.00,continuous,-,80.00,0.00,0.30,air,bubbling fluidised bed,silica sand,alumina (10% feedstock weight),laboratory scale,55.88,15.21,12.37,12.68,2.84,1.01,4.30,2.30,1.43,9.27,53.34,85.50,"de Andres, Fuel Processing Technology 2011, 92, 433-440",Average feedstock composition used when range given; oxygen content calculated by difference; yields converted from daf to non-daf; CGE not the one quoted in paper but rather calculated as defined in this work
61,sewage sludge,spherical aggregate,3.5,11.50,48.75,8.57,7.32,1.61,33.75,44.00,6.95,56.00,-,-,-,-,750.00,continuous,-,80.00,0.00,0.30,air,bubbling fluidised bed,silica sand,alumina (15% feedstock weight),laboratory scale,65.31,8.92,7.81,14.30,2.33,1.32,2.80,4.70,1.27,26.14,31.01,69.40,"de Andres, Fuel Processing Technology 2011, 92, 433-440",Average feedstock composition used when range given; oxygen content calculated by difference; yields converted from daf to non-daf; CGE not the one quoted in paper but rather calculated as defined in this work
62,sewage sludge,spherical aggregate,3.5,11.50,48.75,8.57,7.32,1.61,33.75,44.00,6.95,56.00,-,-,-,-,800.00,continuous,-,80.00,0.00,0.30,air,bubbling fluidised bed,silica sand,alumina (15% feedstock weight),laboratory scale,61.65,12.47,8.56,12.99,2.89,1.44,3.50,2.60,1.43,42.95,43.42,71.40,"de Andres, Fuel Processing Technology 2011, 92, 433-440",Average feedstock composition used when range given; oxygen content calculated by difference; yields converted from daf to non-daf; CGE not the one quoted in paper but rather calculated as defined in this work
63,sewage sludge,spherical aggregate,3.5,11.50,48.75,8.57,7.32,1.61,33.75,44.00,6.95,56.00,-,-,-,-,850.00,continuous,-,80.00,0.00,0.30,air,bubbling fluidised bed,silica sand,alumina (15% feedstock weight),laboratory scale,57.30,14.40,12.37,12.37,2.54,1.01,4.10,1.40,1.43,8.41,50.86,83.30,"de Andres, Fuel Processing Technology 2011, 92, 433-440",Average feedstock composition used when range given; oxygen content calculated by difference; yields converted from daf to non-daf; CGE not the one quoted in paper but rather calculated as defined in this work
64,sewage sludge,spherical aggregate,3.5,11.50,48.75,8.57,7.32,1.61,33.75,44.00,6.95,56.00,-,-,-,-,800.00,continuous,-,80.00,0.50,0.30,air + steam,bubbling fluidised bed,silica sand,alumina (10% feedstock weight),laboratory scale,59.09,13.50,8.53,15.13,2.44,1.32,3.50,3.40,1.38,13.50,41.87,79.00,"de Andres, Fuel Processing Technology 2011, 92, 433-440",Average feedstock composition used when range given; oxygen content calculated by difference; yields converted from daf to non-daf; CGE not the one quoted in paper but rather calculated as defined in this work
65,sewage sludge,spherical aggregate,3.5,11.50,48.75,8.57,7.32,1.61,33.75,44.00,6.95,56.00,-,-,-,-,800.00,continuous,-,80.00,1.00,0.30,air + steam,bubbling fluidised bed,silica sand,alumina (10% feedstock weight),laboratory scale,56.90,15.42,8.22,15.52,2.64,1.32,3.70,3.50,1.38,15.18,44.26,80.80,"de Andres, Fuel Processing Technology 2011, 92, 433-440",Average feedstock composition used when range given; oxygen content calculated by difference; yields converted from daf to non-daf; CGE not the one quoted in paper but rather calculated as defined in this work
66,rubber woodchip,chips,10x5,12.15,46.40,5.70,0.20,0.00,47.70,1.10,9.50,88.90,10.00,-,-,-,761.00,continuous,atmospheric,-,0.00,0.38,air,bubbling fluidised bed,silica sand,-,100 kW_th,59.07,6.56,13.38,16.13,3.56,1.31,4.59,-,1.88,-,71.16,86.40,"Kaewluan, Fuel Processing Technology 2011, 92, 671-677",LHV of feedstock calculated from HHV; VM and fixed carbon calculated for mixtures; ultimate analysis converted to daf basis; N2 free syngas converted to non-N2 free composition to fit into dataset (oxygen content for some of parameters was estimated); Syngas HHV converted to LHV; C2Hn treated as C2H4; some tar yields interpolated from graph
67,rubber woodchip,chips,10x5,12.15,46.40,5.70,0.20,0.00,47.70,1.10,18.10,88.90,10.00,-,-,-,730.00,continuous,atmospheric,-,0.00,0.38,air,bubbling fluidised bed,silica sand,-,100 kW_th,60.35,5.61,11.59,17.68,3.51,1.25,4.24,-,1.65,-,57.72,83.20,"Kaewluan, Fuel Processing Technology 2011, 92, 671-677",LHV of feedstock calculated from HHV; VM and fixed carbon calculated for mixtures; ultimate analysis converted to daf basis; N2 free syngas converted to non-N2 free composition to fit into dataset (oxygen content for some of parameters was estimated); Syngas HHV converted to LHV; C2Hn treated as C2H4; some tar yields interpolated from graph
68,rubber woodchip,chips,10x5,12.15,46.40,5.70,0.20,0.00,47.70,1.10,25.50,88.90,10.00,-,-,-,699.00,continuous,atmospheric,-,0.00,0.38,air,bubbling fluidised bed,silica sand,-,100 kW_th,61.85,5.47,10.48,17.77,3.22,1.20,3.94,-,1.49,-,48.34,79.60,"Kaewluan, Fuel Processing Technology 2011, 92, 671-677",LHV of feedstock calculated from HHV; VM and fixed carbon calculated for mixtures; ultimate analysis converted to daf basis; N2 free syngas converted to non-N2 free composition to fit into dataset (oxygen content for some of parameters was estimated); Syngas HHV converted to LHV; C2Hn treated as C2H4; some tar yields interpolated from graph
69,rubber woodchip,chips,10x5,11.53,46.40,5.70,0.20,0.00,47.70,1.10,27.00,88.90,10.00,-,-,-,705.00,continuous,atmospheric,-,0.00,0.36,air,bubbling fluidised bed,silica sand,-,100 kW_th,61.16,5.35,11.00,18.03,3.27,1.19,4.00,14.75,1.28,-,44.35,71.00,"Kaewluan, Fuel Processing Technology 2011, 92, 671-677",LHV of feedstock calculated from HHV; VM and fixed carbon calculated for mixtures; ultimate analysis converted to daf basis; N2 free syngas converted to non-N2 free composition to fit into dataset (oxygen content for some of parameters was estimated); Syngas HHV converted to LHV; C2Hn treated as C2H4; some tar yields interpolated from graph
70,rubber woodchip,chips,10x5,11.53,46.40,5.70,0.20,0.00,47.70,1.10,27.00,88.90,10.00,-,-,-,730.00,continuous,atmospheric,-,0.00,0.39,air,bubbling fluidised bed,silica sand,-,100 kW_th,61.78,5.33,10.86,17.75,3.10,1.16,3.90,11.75,1.46,-,49.43,75.00,"Kaewluan, Fuel Processing Technology 2011, 92, 671-677",LHV of feedstock calculated from HHV; VM and fixed carbon calculated for mixtures; ultimate analysis converted to daf basis; N2 free syngas converted to non-N2 free composition to fit into dataset (oxygen content for some of parameters was estimated); Syngas HHV converted to LHV; C2Hn treated as C2H4; some tar yields interpolated from graph
71,rubber woodchip,chips,10x5,11.53,46.40,5.70,0.20,0.00,47.70,1.10,27.00,88.90,10.00,-,-,-,740.00,continuous,atmospheric,-,0.00,0.42,air,bubbling fluidised bed,silica sand,-,100 kW_th,62.65,5.40,10.43,17.44,3.03,1.04,3.75,10.00,1.61,-,52.26,79.00,"Kaewluan, Fuel Processing Technology 2011, 92, 671-677",LHV of feedstock calculated from HHV; VM and fixed carbon calculated for mixtures; ultimate analysis converted to daf basis; N2 free syngas converted to non-N2 free composition to fit into dataset (oxygen content for some of parameters was estimated); Syngas HHV converted to LHV; C2Hn treated as C2H4; some tar yields interpolated from graph
72,rubber woodchip,chips,10x5,11.53,46.40,5.70,0.20,0.00,47.70,1.10,27.00,88.90,10.00,-,-,-,770.00,continuous,atmospheric,-,0.00,0.49,air,bubbling fluidised bed,silica sand,-,100 kW_th,63.40,5.23,9.99,17.55,2.89,0.93,3.56,4.25,1.79,-,55.15,86.00,"Kaewluan, Fuel Processing Technology 2011, 92, 671-677",LHV of feedstock calculated from HHV; VM and fixed carbon calculated for mixtures; ultimate analysis converted to daf basis; N2 free syngas converted to non-N2 free composition to fit into dataset (oxygen content for some of parameters was estimated); Syngas HHV converted to LHV; C2Hn treated as C2H4; some tar yields interpolated from graph
73,rubber woodchip (90%) + shredded rubber waste (10%),"chips, uniform","10x5, 30",13.84,50.94,6.18,0.13,0.54,42.20,1.59,24.40,86.53,11.89,-,-,-,725.00,continuous,atmospheric,-,0.00,0.30,air,bubbling fluidised bed,silica sand,-,100 kW_th,58.62,5.87,13.93,17.18,3.25,1.15,4.39,17.25,1.40,-,44.41,67.00,"Kaewluan, Fuel Processing Technology 2011, 92, 671-677",LHV of feedstock calculated from HHV; VM and fixed carbon calculated for mixtures; ultimate analysis converted to daf basis; N2 free syngas converted to non-N2 free composition to fit into dataset (oxygen content for some of parameters was estimated); Syngas HHV converted to LHV; C2Hn treated as C2H4; some tar yields interpolated from graph
74,rubber woodchip (90%) + shredded rubber waste (10%),"chips, uniform","10x5, 30",13.86,50.94,6.18,0.13,0.54,42.20,1.59,24.40,86.53,11.89,-,-,-,770.00,continuous,atmospheric,-,0.00,0.38,air,bubbling fluidised bed,silica sand,-,100 kW_th,60.62,5.77,12.83,16.41,3.18,1.19,4.25,9.50,1.74,-,53.25,80.00,"Kaewluan, Fuel Processing Technology 2011, 92, 671-677",LHV of feedstock calculated from HHV; VM and fixed carbon calculated for mixtures; ultimate analysis converted to daf basis; N2 free syngas converted to non-N2 free composition to fit into dataset (oxygen content for some of parameters was estimated); Syngas HHV converted to LHV; C2Hn treated as C2H4; some tar yields interpolated from graph
75,rubber woodchip (90%) + shredded rubber waste (10%),"chips, uniform","10x5, 30",13.86,50.94,6.18,0.13,0.54,42.20,1.59,24.40,86.53,11.89,-,-,-,785.00,continuous,atmospheric,-,0.00,0.43,air,bubbling fluidised bed,silica sand,-,100 kW_th,60.72,6.17,12.73,16.31,3.18,0.89,4.09,6.50,1.97,-,57.97,88.00,"Kaewluan, Fuel Processing Technology 2011, 92, 671-677",LHV of feedstock calculated from HHV; VM and fixed carbon calculated for mixtures; ultimate analysis converted to daf basis; N2 free syngas converted to non-N2 free composition to fit into dataset (oxygen content for some of parameters was estimated); Syngas HHV converted to LHV; C2Hn treated as C2H4; some tar yields interpolated from graph
76,rubber woodchip (90%) + shredded rubber waste (10%),"chips, uniform","10x5, 30",13.86,50.94,6.18,0.13,0.54,42.20,1.59,24.40,86.53,11.89,-,-,-,810.00,continuous,atmospheric,-,0.00,0.46,air,bubbling fluidised bed,silica sand,-,100 kW_th,62.30,5.51,12.44,15.86,3.04,0.85,3.90,4.25,2.04,-,57.43,92.00,"Kaewluan, Fuel Processing Technology 2011, 92, 671-677",LHV of feedstock calculated from HHV; VM and fixed carbon calculated for mixtures; ultimate analysis converted to daf basis; N2 free syngas converted to non-N2 free composition to fit into dataset (oxygen content for some of parameters was estimated); Syngas HHV converted to LHV; C2Hn treated as C2H4; some tar yields interpolated from graph
77,rubber woodchip (80%) + shredded rubber waste (20%),"chips, uniform","10x5, 30",16.19,55.35,6.53,0.26,0.91,36.95,2.04,21.80,84.19,13.77,-,-,-,745.00,continuous,atmospheric,-,0.00,0.30,air,bubbling fluidised bed,silica sand,-,100 kW_th,59.69,5.52,14.12,15.76,3.68,1.23,4.60,15.00,1.72,-,48.89,74.00,"Kaewluan, Fuel Processing Technology 2011, 92, 671-677",LHV of feedstock calculated from HHV; VM and fixed carbon calculated for mixtures; ultimate analysis converted to daf basis; N2 free syngas converted to non-N2 free composition to fit into dataset (oxygen content for some of parameters was estimated); Syngas HHV converted to LHV; C2Hn treated as C2H4; some tar yields interpolated from graph
78,rubber woodchip (80%) + shredded rubber waste (20%),"chips, uniform","10x5, 30",16.22,55.35,6.53,0.26,0.91,36.95,2.04,21.80,84.19,13.77,-,-,-,770.00,continuous,atmospheric,-,0.00,0.34,air,bubbling fluidised bed,silica sand,-,100 kW_th,59.83,6.16,13.77,15.62,3.49,1.13,4.49,12.00,1.88,-,51.94,80.00,"Kaewluan, Fuel Processing Technology 2011, 92, 671-677",LHV of feedstock calculated from HHV; VM and fixed carbon calculated for mixtures; ultimate analysis converted to daf basis; N2 free syngas converted to non-N2 free composition to fit into dataset (oxygen content for some of parameters was estimated); Syngas HHV converted to LHV; C2Hn treated as C2H4; some tar yields interpolated from graph
79,rubber woodchip (80%) + shredded rubber waste (20%),"chips, uniform","10x5, 30",16.22,55.35,6.53,0.26,0.91,36.95,2.04,21.80,84.19,13.77,-,-,-,775.00,continuous,atmospheric,-,0.00,0.38,air,bubbling fluidised bed,silica sand,-,100 kW_th,60.88,6.34,13.07,15.15,3.47,1.09,4.39,8.50,2.11,-,57.09,86.00,"Kaewluan, Fuel Processing Technology 2011, 92, 671-677",LHV of feedstock calculated from HHV; VM and fixed carbon calculated for mixtures; ultimate analysis converted to daf basis; N2 free syngas converted to non-N2 free composition to fit into dataset (oxygen content for some of parameters was estimated); Syngas HHV converted to LHV; C2Hn treated as C2H4; some tar yields interpolated from graph
80,rubber woodchip (80%) + shredded rubber waste (20%),"chips, uniform","10x5, 30",16.22,55.35,6.53,0.26,0.91,36.95,2.04,21.80,84.19,13.77,-,-,-,790.00,continuous,atmospheric,-,0.00,0.40,air,bubbling fluidised bed,silica sand,-,100 kW_th,61.09,6.12,13.04,15.31,3.46,0.99,4.29,7.00,2.15,-,56.87,88.00,"Kaewluan, Fuel Processing Technology 2011, 92, 671-677",LHV of feedstock calculated from HHV; VM and fixed carbon calculated for mixtures; ultimate analysis converted to daf basis; N2 free syngas converted to non-N2 free composition to fit into dataset (oxygen content for some of parameters was estimated); Syngas HHV converted to LHV; C2Hn treated as C2H4; some tar yields interpolated from graph
81,rubber woodchip (80%) + shredded rubber waste (20%),"chips, uniform","10x5, 30",16.22,55.35,6.53,0.26,0.91,36.95,2.04,21.80,84.19,13.77,-,-,-,825.00,continuous,atmospheric,-,0.00,0.45,air,bubbling fluidised bed,silica sand,-,100 kW_th,62.00,5.59,12.83,15.33,3.38,0.87,4.10,3.00,2.35,-,59.29,95.00,"Kaewluan, Fuel Processing Technology 2011, 92, 671-677",LHV of feedstock calculated from HHV; VM and fixed carbon calculated for mixtures; ultimate analysis converted to daf basis; N2 free syngas converted to non-N2 free composition to fit into dataset (oxygen content for some of parameters was estimated); Syngas HHV converted to LHV; C2Hn treated as C2H4; some tar yields interpolated from graph
82,birch woodchips,chips,11,20.01,50.63,5.63,0.12,0.02,43.60,0.50,6.60,82.20,-,40.60,29.60,26.30,594.00,batch,-,255.00,0.00,0.49,air,fixed-bed downdraft,-,-,laboratory scale,56.30,11.90,19.70,10.00,2.10,0.00,4.50,26.77,2.06,242.25,45.10,67.30,"Sarker, Energy Conversion and Management, 2015, 103, 801-813",Average values used for a lot of outputs - original study quotes uncertainties involved for most of these variables; tar yield given as tar + liquid yield but used as tar yield for this study; N2 calculated by difference; average ER used
83,birch woodchips,chips,11,20.01,50.63,5.63,0.12,0.02,43.60,0.50,8.60,82.20,-,40.60,29.60,26.30,684.00,batch,-,366.00,0.00,0.49,air,fixed-bed downdraft,-,-,laboratory scale,57.70,10.30,19.40,10.30,2.30,0.00,4.40,13.21,2.02,104.15,44.10,68.50,"Sarker, Energy Conversion and Management, 2015, 103, 801-813",Average values used for a lot of outputs - original study quotes uncertainties involved for most of these variables; tar yield given as tar + liquid yield but used as tar yield for this study; N2 calculated by difference; average ER used
84,birch woodchips,chips,11,20.01,50.63,5.63,0.12,0.02,43.60,0.50,8.30,82.20,-,40.60,29.60,26.30,625.00,batch,-,336.00,0.00,0.50,air,fixed-bed downdraft,-,-,laboratory scale,59.20,11.00,18.50,9.50,1.80,0.00,4.20,9.94,2.17,48.41,44.30,68.50,"Sarker, Energy Conversion and Management, 2015, 103, 801-813",Average values used for a lot of outputs - original study quotes uncertainties involved for most of these variables; tar yield given as tar + liquid yield but used as tar yield for this study; N2 calculated by difference; average ER used
85,oak woodchips,chips,11,18.90,49.59,6.08,0.20,0.02,44.11,1.40,7.40,82.90,-,38.10,26.10,25.90,647.00,batch,-,282.00,0.00,0.52,air,fixed-bed downdraft,-,-,laboratory scale,58.00,9.00,21.70,9.10,2.20,0.00,4.50,22.41,2.13,93.06,52.50,79.50,"Sarker, Energy Conversion and Management, 2015, 103, 801-813",Average values used for a lot of outputs - original study quotes uncertainties involved for most of these variables; tar yield given as tar + liquid yield but used as tar yield for this study; N2 calculated by difference; average ER used
86,oak woodchips,chips,11,18.90,49.59,6.08,0.20,0.02,44.11,1.40,6.70,82.90,-,38.10,26.10,25.90,600.00,batch,-,250.00,0.00,0.57,air,fixed-bed downdraft,-,-,laboratory scale,55.00,11.10,20.30,11.10,2.50,0.00,4.60,39.32,2.05,82.99,50.90,76.50,"Sarker, Energy Conversion and Management, 2015, 103, 801-813",Average values used for a lot of outputs - original study quotes uncertainties involved for most of these variables; tar yield given as tar + liquid yield but used as tar yield for this study; N2 calculated by difference; average ER used
87,oak woodchips,chips,11,18.90,49.59,6.08,0.20,0.02,44.11,1.40,6.70,82.90,-,38.10,26.10,25.90,575.00,batch,-,347.00,0.00,0.52,air,fixed-bed downdraft,-,-,laboratory scale,63.77,8.50,16.40,9.73,1.60,0.00,4.30,30.91,2.32,220.34,50.00,72.30,"Sarker, Energy Conversion and Management, 2015, 103, 801-813",Average values used for a lot of outputs - original study quotes uncertainties involved for most of these variables; tar yield given as tar + liquid yield but used as tar yield for this study; N2 calculated by difference; average ER used
88,spruce woodchips,chips,11,20.27,51.08,6.05,0.14,0.01,42.72,0.70,6.30,82.60,-,44.50,20.60,27.80,565.00,batch,-,250.00,0.00,0.49,air,fixed-bed downdraft,-,-,laboratory scale,61.40,9.20,18.30,9.40,1.70,0.00,3.90,34.67,1.89,102.74,34.90,56.00,"Sarker, Energy Conversion and Management, 2015, 103, 801-813",Average values used for a lot of outputs - original study quotes uncertainties involved for most of these variables; tar yield given as tar + liquid yield but used as tar yield for this study; N2 calculated by difference; average ER used
89,spruce woodchips,chips,11,20.27,51.08,6.05,0.14,0.01,42.72,0.70,6.60,82.60,-,44.50,20.60,27.80,602.00,batch,-,283.00,0.00,0.46,air,fixed-bed downdraft,-,-,laboratory scale,59.70,10.00,20.60,7.90,1.80,0.00,4.30,60.00,1.81,140.07,38.60,58.20,"Sarker, Energy Conversion and Management, 2015, 103, 801-813",Average values used for a lot of outputs - original study quotes uncertainties involved for most of these variables; tar yield given as tar + liquid yield but used as tar yield for this study; N2 calculated by difference; average ER used
90,spruce woodchips,chips,11,20.27,51.08,6.05,0.14,0.01,42.72,0.70,11.00,82.60,-,44.50,20.60,27.80,553.00,batch,-,241.00,0.00,0.43,air,fixed-bed downdraft,-,-,laboratory scale,60.90,8.40,20.50,8.60,1.60,0.00,4.00,28.88,1.67,201.72,32.80,70.00,"Sarker, Energy Conversion and Management, 2015, 103, 801-813",Average values used for a lot of outputs - original study quotes uncertainties involved for most of these variables; tar yield given as tar + liquid yield but used as tar yield for this study; N2 calculated by difference; average ER used
91,poplar woodchips,chips,11,19.67,49.83,6.05,0.22,0.02,43.88,0.90,9.80,83.90,-,46.20,24.40,24.50,711.00,batch,-,403.00,0.00,0.53,air,fixed-bed downdraft,-,-,laboratory scale,57.20,14.20,19.00,8.80,0.80,0.00,4.20,11.75,2.30,63.41,49.30,71.60,"Sarker, Energy Conversion and Management, 2015, 103, 801-813",Average values used for a lot of outputs - original study quotes uncertainties involved for most of these variables; tar yield given as tar + liquid yield but used as tar yield for this study; N2 calculated by difference; average ER used
92,poplar woodchips,chips,11,19.67,49.83,6.05,0.22,0.02,43.88,0.90,10.00,83.90,-,46.20,24.40,24.50,620.00,batch,-,297.00,0.00,0.48,air,fixed-bed downdraft,-,-,laboratory scale,60.80,10.90,19.50,7.90,0.90,0.00,3.90,22.38,1.91,175.43,39.00,59.20,"Sarker, Energy Conversion and Management, 2015, 103, 801-813",Average values used for a lot of outputs - original study quotes uncertainties involved for most of these variables; tar yield given as tar + liquid yield but used as tar yield for this study; N2 calculated by difference; average ER used
93,poplar woodchips,chips,11,19.67,49.83,6.05,0.22,0.02,43.88,0.90,10.50,83.90,-,46.20,24.40,24.50,668.00,batch,-,275.00,0.00,0.43,air,fixed-bed downdraft,-,-,laboratory scale,54.10,15.30,19.70,9.60,1.30,0.00,4.60,9.55,1.93,60.32,40.30,68.60,"Sarker, Energy Conversion and Management, 2015, 103, 801-813",Average values used for a lot of outputs - original study quotes uncertainties involved for most of these variables; tar yield given as tar + liquid yield but used as tar yield for this study; N2 calculated by difference; average ER used
94,willow woodchips,chips,11,19.80,50.52,5.97,0.54,0.04,42.93,1.30,6.90,80.70,-,38.50,17.60,26.30,609.00,batch,-,325.00,0.00,0.53,air,fixed-bed downdraft,-,-,laboratory scale,56.70,12.90,19.00,10.20,1.20,0.00,4.20,30.68,2.03,62.37,42.90,65.80,"Sarker, Energy Conversion and Management, 2015, 103, 801-813",Average values used for a lot of outputs - original study quotes uncertainties involved for most of these variables; tar yield given as tar + liquid yield but used as tar yield for this study; N2 calculated by difference; average ER used
95,willow woodchips,chips,11,19.80,50.52,5.97,0.54,0.04,42.93,1.30,7.70,80.70,-,38.50,17.60,26.30,667.00,batch,-,275.00,0.00,0.31,air,fixed-bed downdraft,-,-,laboratory scale,59.90,12.10,16.90,9.60,1.50,0.00,3.95,50.95,1.45,102.15,28.90,50.40,"Sarker, Energy Conversion and Management, 2015, 103, 801-813",Average values used for a lot of outputs - original study quotes uncertainties involved for most of these variables; tar yield given as tar + liquid yield but used as tar yield for this study; N2 calculated by difference; average ER used
96,willow woodchips,chips,11,19.80,50.52,5.97,0.54,0.04,42.93,1.30,9.80,80.70,-,38.50,17.60,26.30,755.00,batch,-,346.00,0.00,0.52,air,fixed-bed downdraft,-,-,laboratory scale,58.70,11.40,17.30,11.00,1.60,0.00,3.97,13.72,2.22,180.64,43.10,69.60,"Sarker, Energy Conversion and Management, 2015, 103, 801-813",Average values used for a lot of outputs - original study quotes uncertainties involved for most of these variables; tar yield given as tar + liquid yield but used as tar yield for this study; N2 calculated by difference; average ER used
97,alfalfa,pellets,25x6,15.23,50.07,5.90,2.88,0.30,40.85,16.98,8.73,81.52,-,29.60,14.00,14.00,775.00,continuous,-,200.00,0.00,0.25,air,bubbling fluidised bed,silica sand,-,pilot-scale,53.04,13.41,8.68,20.92,2.85,1.09,4.13,1.15,1.36,301.52,33.80,49.02,"Sarker, Energy Conversion and Management, 2015, 91, 451-458",Ultimate and proximate basis converted to correct basis; Structural composition taken as average; C2H6 treated as C2H4; Temperature taken as average
