# Table 1: Main oxidation reactions in biomass gasification [34].
Chemical reaction,Chemical formula,Heat of reaction at standard atmospheric pressure (kJ/mol)
Partial oxidation,C + 1/2 O₂ → CO,-123.1
Complete oxidation (combustion),C + O₂ → CO₂,-405.9
H₂ combustion reaction,H₂ + 1/2 O₂ → H₂O,-286.0
CO combustion reaction,CO + 1/2 O₂ → CO₂,-282.8

# Table 2: Main reduction reactions of biomass gasification [36,37].
Chemical reaction,Chemical formula,Heat of reaction at standard atmospheric pressure (kJ/mol)
Steam gasification reaction,C + H₂O → CO + H₂,+118.9
Boudouard reaction,C + CO₂ → 2CO,+159.7
Methanation reaction,C + 2H₂ → CH₄,-75
Steam reduction reaction,C + 2H₂O → CO₂ + 2H₂,-90.2
Water gas shift reaction,CO + H₂O → CO₂ + H₂,-45.2
Steam reforming reaction,CH₄ + H₂O → CO + 3H₂,+206.9

# Table 3: Essential elements in some machine learning based predictive biomass gasification studies
Literature sources,Sample size (number),Importation,Exports,Model
Elmaz et al. [38],4826,Temperature, equivalence ratio, gas concentration, fuel flow rate, and results of proximate analysis and ultimate analysis of biomass,Gas concentrations of CO, CO₂, CH₄, H₂ and high calorific value of syngas,Multinomial regression model, SVR, DL
Yan et al. [39],166,Biomass particle size, temperature, equivalence ratio, results of proximate analysis and ultimate analysis of biomass, net height of gasifier, inner diameter of gasifier,Concentrations of CO, CO₂, CH₄, H₂,Thermodynamic model, ANN, thermodynamic-based ANN modelling
Yang et al. [40],1855,Temperature and results of proximate analysis and ultimate analysis of biomass,Gas yield, low calorific value of syngas,ANN, SVR, multiple linear regression, DL
Baruah et al. [41],63,Temperature and results of proximate analysis and ultimate analysis of biomass,Concentrations of CO, CO₂, CH₄, H₂,ANN
Pandey et al. [16],67,Temperature, equivalence ratio, results of proximate analysis and ultimate analysis of biomass,Syngas yield, low calorific value of gasification products,ANN
Mikulandric et al. [42],About 130,Fuel flow rate, air flow rate, syngas outlet temperature, gasification time,Concentrations of CO, CO₂, CH₄, H₂, gasification real-time temperature,ANN
