Table S1: Multiple trial results of RF and MLP models,,,,,
Target,Time,RMSE_train RF,R2_train RF,RMSE_train MLP,R2_train MLP
Sr,57.41,0.30,30.48,0.36,-13.20,0.19
Y,57.58,0.30,30.92,0.36,-13.83,0.18
Zr,56.74,0.31,31.02,0.36,-10.87,0.20
Nb,56.39,0.33,31.28,0.36,-9.69,0.20
Mo,56.68,0.33,31.51,0.37,-9.73,0.19
Ru,56.23,0.34,31.14,0.37,-9.89,0.19
Rh,56.22,0.34,31.37,0.37,-9.82,0.19
Pd,56.53,0.33,31.30,0.37,-9.91,0.19
Ag,56.75,0.33,31.40,0.37,-9.68,0.20
Cd,56.39,0.33,31.35,0.37,-9.69,0.20
In,57.40,0.31,31.45,0.36,-12.35,0.19
Sn,56.74,0.33,31.40,0.37,-9.68,0.20
Sb,56.74,0.33,31.49,0.37,-9.69,0.20
Cs,57.11,0.30,30.42,0.36,-13.21,0.19
Ba,57.18,0.30,30.42,0.36,-13.21,0.19
La,57.44,0.30,30.46,0.36,-13.35,0.19
Ce,57.46,0.30,30.82,0.36,-13.62,0.18
Pr,57.46,0.30,30.86,0.36,-13.62,0.18
Nd,57.45,0.30,30.85,0.36,-13.62,0.18
Sm,57.53,0.30,30.90,0.36,-13.83,0.18
Eu,57.57,0.30,30.90,0.36,-13.83,0.18
Gd,57.57,0.30,30.90,0.36,-13.83,0.18
Tb,57.58,0.30,30.90,0.36,-13.83,0.18
Dy,57.59,0.30,30.92,0.36,-13.83,0.18
Ho,57.59,0.30,30.92,0.36,-13.83,0.18
Er,57.59,0.30,30.92,0.36,-13.83,0.18
Tm,57.59,0.30,30.92,0.36,-13.83,0.18
Yb,57.40,0.30,30.45,0.36,-13.57,0.18
Lu,57.59,0.30,30.96,0.36,-13.68,0.19
Hf,56.74,0.31,31.02,0.36,-10.87,0.20
Ta,56.27,0.33,30.98,0.36,-9.71,0.20
W,56.63,0.33,31.79,0.37,-9.65,0.20
Re,56.64,0.33,31.18,0.37,-9.86,0.19
Os,56.23,0.34,31.14,0.37,-9.89,0.19
Ir,56.37,0.33,31.25,0.37,-9.89,0.19
Pt,56.69,0.33,31.75,0.37,-9.65,0.20
Au,56.59,0.33,31.79,0.37,-9.65,0.20
Hg,56.76,0.33,31.40,0.37,-9.68,0.20
Tl,57.46,0.31,31.40,0.36,-12.36,0.19
Pb,57.61,0.30,31.86,0.37,-13.73,0.18
Bi,56.75,0.33,31.43,0.37,-9.77,0.19
