"Table S1. Literature-derived dataset: Biomass composition, gasification conditions and syngas outputs"																													
																													
Reference	Biomass residue	Gasification technology	Gasifying agent	T [°C]	O2 (wt/wt)	N2 (wt/wt)	H2Og (wt/wt)	MC (wt %ar)	VM (wt %ar)	Ash (wt %ar)	FC (wt %ar)	LHVb (MJ/kg)	C (wt %ar)	H (wt %ar)	O (wt %ar)	N (wt %ar)	S (wt %ar)	Cl (wt %ar)	F (wt %ar)	CO (mol%. db)	H2 (mol%. db)	CH4 (mol%. db)	CO2 (mol%. db)	N2 (mol%. db)	O2 (mol%. db)	CnHm (mol%. db)	HHVs (d.b.) (MJ/m3 )	H2/ CO ratio	
[8]	Corn straw	Fixed bed	Air	1439	0.13	0.47	0	6.2	67.7	5.6	20.6	14.1	40.7	5.6	42.2	0.9	0.1	0	0	15.9	13.3	2.6	14.7	52.8	0	0	4.7	0.8	
[9]	Fallen leaves pellets	Fixed bed	Air	990	0.04	0.15	0	5	65.6	19.6	9.8	12.8	39	5.3	31.1	0	0	0	0	10.6	9.7	2	13.8	68.7	0	0	3.7	0.9	
[9]	Fallen leaves pellets	Fixed bed	Air	975	0.04	0.16	0	5.2	66.3	19.1	9.4	12.8	38.7	5.4	33.1	0	0	0	0	10.8	9.7	2	13.8	68.7	0	0	3.7	1.1	
[10]	Corn straw pellets	Fixed bed	Air	1050	0.13	0.49	0	6.2	71.3	5.6	17	13.9	38.7	5.3	39.7	0.9	0.1	0.4	0	11.4	6.9	1.3	23.9	53.9	1.6	1	2.8	0.6	
[10]	Corn straw pellets	Fixed bed	Air	1150	0.17	0.62	0	6.2	71.3	5.6	17	13.9	38.7	5.3	39.7	0.9	0.1	0.4	0	15.2	10.6	1.6	18.4	53	1.6	1.3	3.9	0.7	
[11]	Sawdust	Fixed bed	Air	920	0.05	0.18	0	7.8	80.5	0.7	10.7	18.5	46.1	6.1	38.1	0.9	0.1	0	0	13	17	1.9	15	53	0	0	4.6	1.2	
[11]	Cotton stalk	Fixed bed	Oxygen	1180	0.26	0	0	7.8	80.5	0.9	10.7	18.5	46.1	6.1	38.1	0.9	0.1	0	0	35	36	3.3	22	2.4	0	10.3	1		
[11]	Sawdust	Fixed bed	Oxygen	1210	0.23	0	0.57	11.8	63	0.7	16.6	15.4	44.9	4.1	36.5	0.8	0.2	0	0	38	36	2.7	21	2.3	0	10.5	0.9		
[11]	Cotton stalk	Fixed bed	Oxygen	1206	0.23	0	0	11.8	63	0.7	16.6	15.4	44.9	4.1	36.5	0.8	0.2	0	0	38	36	2.7	21	2.3	0	10.5	0.9		
[12]	Hazelnut shells	Fixed bed	Air	1206	0.15	0.57	0	12.5	62.7	0.8	24.1	14	40.9	5	40.1	0.2	0.6	0	0	16.6	11.1	2.2	11.2	57.1	0.2	0.1	4.6	1	
[13]	Sludge pellets with mixed wood	Fixed bed	Air	1000	0.14	0.52	0	3.7	83.4	0.3	12.6	15.4	43.9	5.6	46.2	0.3	0.1	0	0	23.4	16.2	2.4	11.9	45	0	0	6.3	0.7	
[14]	Almond shells	Fluidized bed	Steam/O2	630	0.18	0	0.023	10	72.5	1.1	16.4	16.2	43.1	5.7	39.8	0.3	0	0	0	28	33	9	26.5	2	0.05	11.3	1.2		
[14]	Almond shells	Fluidized bed	Enriched O2	870	0.24	0.26	0	10	72.5	1.1	16.4	16.2	43.1	5.7	39.8	0.3	0	0	0	20	11	6	19	42.5	0.5	1	6.3	0.6	
[15]	Corncobs	Fixed bed	Air	834	0.41	0.41	0	23.6	62.8	2.1	11.6	12.4	35.9	3.5	34.6	0.6	0	0	0	16.7	17	3.1	6.2	56.3	0.7	0	5.5	1	
[16]	OTPR (Olive tree pruning)	Fixed bed	Air	950	0.41	0.41	0	4.8	78.3	0.6	8.5	16.6	45	6.1	42.8	1.2	0	0	0	6.4	11.7	5.8	27.6	46.9	0	1.6	8.8	1.8	
[16]	Olive kernels	Fixed bed	Air	950	0.41	0.41	0	4.8	78.3	0.6	8.5	16.6	45	6.1	42.8	1.2	0	0	0	6.4	11.7	5.8	27.6	46.9	0	1.6	10.1	1.8	
[17]	Bagasse	Fixed bed	Air	1200	0.13	0.5	0	9.7	75.6	3.5	16.4	17	46.4	6.1	44.2	0.3	0	0	0	23.8	7.8	9.9	19.5	64.4	0	0	5.8	0.3	
[17]	Palm empty fruit bunch (EFB)	Fixed bed	Air	800	0.15	0.56	0	11	65.5	7	16.4	16.1	44.5	5.4	34	0.7	0.1	0	0	17	13.5	1.9	14.5	53.3	0	0	4.7	0.8	
[18]	Wood pellets	Fluidized bed	Air	1100	0.14	0.53	0	7.5	68.7	0.3	23.5	17.6	46.6	5.7	40.1	0.1	0	0	0	25.7	11.9	2.6	9.9	50.4	0	0	5.7	0.05	
[18]	Rice husk	Fluidized bed	Air	927	0.17	0.62	0	13.4	57.5	17.3	11.8	12.3	32.6	4.7	31.7	0.3	0	0	0	15	3.8	2.4	16.2	61.3	0.1	1.3	3.8	0.3	
[18]	Rice husk	Fluidized bed	Air-steam	927	0.16	0.59	0	13.4	57.5	17.3	11.8	12.3	32.6	4.7	31.7	0.3	0	0	0	15	3.8	2.4	16.2	61.3	0.1	1.3	3.8	0.3	
[18]	Rice husk	Fluidized bed	Air-steam	927	0.15	0.57	0	13.4	57.5	17.3	11.8	12.3	32.6	4.7	31.7	0.3	0	0	0	12.8	3.4	2	17.1	63.6	0.1	1.1	3.3	0.3	
[19]	Sawdust	Fluidized bed	Air-steam mixture	800	0.1	0.36	0.23	8	74.5	0.5	17	16.7	47.2	5.1	38.9	0.2	0.2	0	0	26.1	38.1	7.5	26.2	2.1	0	11.1	1.5		
[19]	Sawdust	Fluidized bed	Air-steam mixture	800	0.1	0.37	0.24	8	74.5	0.5	17	16.7	47.2	5.1	38.9	0.2	0.2	0	0	24.1	38.1	7.5	26.2	2.1	0	10.8	1.5		
[19]	Sawdust	Fixed bed	Air-steam mixture	800	0.1	0.37	0.24	8	74.5	0.5	17	16.7	47.2	5.1	38.9	0.2	0.2	0	0	12.3	50.2	4.3	32.6	0.6	0	9.7	4.1		
[20]	Coffee grounds	Fluidized bed	Steam	820	0	0	0.52	10.5	71.8	1	16.7	18.2	47.4	5.8	32.8	2.5	0	0	0	28.2	31.2	13.6	17.3	9.6	0	15.2	1.1		
[21]	Coffee husk	Fluidized bed	Air	790	0.15	0.56	0	25.3	62.2	1.9	10.7	9.9	29.2	4.1	35.8	3.8	0	0	0	11.3	8	2.5	19.4	58.6	0	0	3.1	0.7	
[21]	Coffee husk	Fluidized bed	Air	815	0.16	0.61	0	25.3	62.2	1.9	10.7	9.9	29.2	4.1	35.8	3.8	0	0	0	11.3	8	2.5	17.1	58.6	0	0	3.1	1.1	
[22]	Oil palm fronds (OPF)	Fixed bed	Air	1100	0.41	0.41	0	22	66.4	2.7	9	12.3	33.1	4.5	37.6	2.8	0	0	0	25.3	9.6	1.2	8.2	55.7	0	0	4.9	0.4	
[23]	Banana empty fruit bunches (BEFB)	Fixed bed	Air	800	0.11	0.42	0	15.9	59.3	5.2	19.6	9.9	29.8	4.5	43	1.6	0	0	0	21.5	13.5	2.6	21.4	39.1	0	1.2	6.2	0.6	
[24]	Palm empty fruit bunch	Fluidized bed	Air	1050	0.17	0.65	0	7.8	79.3	4.5	8.4	15	40.1	5.3	45.1	1.1	0	0	0	16.6	5.6	4.3	19.2	54.3	0	6	0.3		
[24]	Palm kernel shell	Fluidized bed	Air	1050	0.17	0.65	0	7.8	79.3	4.5	8.4	15	40.1	5.3	45.1	1.1	0	0	0	16.6	5.6	4.3	19.2	54.3	0	6	0.3		
[25]	Palm shell fruit	Fluidized bed	Steam	750	0	0	0.67	9.6	73.1	3.9	13.3	15.9	45	5.1	39.3	0.9	0.2	0	0	14.3	67.4	10.7	7.6	42.7	0	14.7	4.7		
[25]	Palm empty fruit bunch (EFB)	Fluidized bed	Air	750	0.13	0.47	0	9.6	73.1	3.9	13.3	15.9	45	5.1	39.3	0.9	0.2	0	0	14.3	67.4	10.7	7.6	42.7	0	14.7	4.7		
[26]	Palm empty fruit bunch (EFB)	Fluidized bed	Air	1000	0.13	0.47	0	5.2	82.6	3.5	8.8	17	44.2	6.1	43.3	1.1	0	0	0	21	21.9	8.5	5.9	42.7	0	16.2	1		
[27]	Hazelnut shells	Fixed bed	Steam	845	0	0	0.26	0.47	7.9	64.7	1.3	26.1	17.4	47.5	3.7	37	1.5	0	0	0	29.9	31.8	15.5	18.1	30.6	0	0	14.4	1.1
[28]	Citrus peel	Fluidized bed	Air-steam mixture	750	0.09	0.32	0.32	8	66.1	7.8	18	15.3	39.6	3.8	37.5	1.2	0	0	0	9.8	27.3	2.4	21	39.5	0	0	5.7	2.8	
[29]	Olive pomace	Fixed bed	Air	800	0.14	0.51	0	4.5	58.4	8.4	28.7	15.9	51.3	6.8	27.3	2	0.1	0	0	17.9	13	1.5	21.9	52.6	0	0	1.8	5.8	0.9
[30]	Pine wood	Fixed bed	Steam/O2	876	0.12	0.46	0.46	0.33	8	75.7	0.5	15.8	18.1	46.5	3.7	38.1	0.5	0	0	0	39.2	18	2	21.5	27.1	0.43	0.5	5.5	1.3
[31]	Citrus peel	Fluidized bed	Steam	750	0.03	0.11	0.6	20	57.5	6.9	15.5	13.4	34	3.4	32.6	1	0	0	0	26.1	25.3	5.8	14.5	29.4	0	1	11.2	2.3	
[32]	Rice husk	Fluidized bed	Air	850	0.07	0.26	0	8.2	62.2	18.5	11.1	14.8	36.1	4.6	33.2	0.8	0	0	0	18.6	17.2	2.7	25.6	34.2	0	0	7.6	0.9	
[32]	Rice husk	Fluidized bed	Air	850	0.07	0.26	0	8.2	62.2	18.5	11.1	14.8	36.1	4.6	33.2	0.8	0	0	0	18.6	17.2	2.7	25.6	34.2	0	0	7.6	0.9	
[33]	Palm kernel shell	Fixed bed	Steam	950	0	0	0.26	0.46	8.2	74.2	1.85	13.13	15.4	38.3	5.6	38.2	0.8	0.2	0	0	28.2	23.1	5	13.8	29.4	0	0	18.1	1.4
