"Table S1. Literature-derived dataset: Biomass composition, gasification conditions and syngas outputs"																													
																													
Reference	Biomass residue	Gasification technology	Gasifying agent	T [°C]	O2 (wt/wt)	N2 (wt/wt)	H2Og (wt/wt)	MC (wt %ar)	VM (wt %ar)	Ash (wt %ar)	FC (wt %ar)	LHVb (MJ/kg)	C (wt %ar)	H (wt %ar)	O (wt %ar)	N (wt %ar)	S (wt %ar)	Cl (wt %ar)	F (wt %ar)	CO (mol%. db)	H2 (mol%. db)	CH4 (mol%. db)	CO2 (mol%. db)	N2 (mol%. db)	O2 (mol%. db)	CnHm (mol%. db)	HHVs (d.b.) (MJ/m3 )	H2/ CO ratio	
[50]	Sugarcane leaves	Fixed bed	Steam	600	0	0	0.47	10	69.5	7.6	12.9	18.8	42.7	7.7	31.3	0.7	0	0	0	31	11	16	42	0	0	0	11.1	0.4	

"Table S2. Features studied and their corresponding variance
"
Feature,Variance
T,33289.2
N2,737.8
H2,395.6
VM,166.3
CO,101.4
FC,95.5
MC,79.1
Ash,68.2
C,65.0
CO2,63.0
O,46.8
CH4,22.1
HHVs,17.7
LHVb,9.0
H2/CO ratio,8.7
CnHm,6.8
H,1.5
N,0.6
Molar H/O ratio,0.3
Molar H/C ratio,0.09
O2,0.07
S,0.05
Cl,0.02
Molar O/C ratio,0.02
Molar N/C ratio,0.0004
F,0.000009

Table S3. Descriptive statistics of categorical features																													
																													
	Biomass type category	Biomass residue	Biomass type sub-category	Gasification technology	Gasifying agent																								
Count	106	106	106	106	106																								
Unique types	5	41	17	2	6																								
Most common type	Agricultural residues	Sawdust	Pine wood residues	Fixed bed	Air																								
Frequency for the most common	41	24	32	61	48																								
																													
"Table S4. Nested cross-validation results on the outer test folds: predictive performance of multi-output regression for syngas composition (H₂, CO, CH₄)."																													
																													
Fold	H₂ RMSE	H₂ R²	H₂ MAE	H₂ MAX	CO RMSE	CO R²	CO MAE	CO MAX	CH₄ RMSE	CH₄ R²	CH₄ MAE	CH₄ MAX																	
0	6.02	0.91	4.13	18.78	4.13	0.73	3.04	12.4	1.84	0.8	1.35	5.87																	
1	10.51	0.69	4.59	68.68	5.46	0.59	3.29	26.53	3.37	0.53	1.74	17.77																	
2	10.06	0.68	4.04	68.7	4.47	0.67	2.18	26.73	2.35	0.72	1.25	13.24																	
3	6.4	0.88	4.34	24.91	4.63	0.72	3.08	18.72	2.53	0.65	1.68	9.79																	
4	5.62	0.92	3.69	19.98	5.1	0.67	2.86	19.59	1.61	0.79	1.06	6.66																	
																													
"Table S5. Nested cross-validation results on the outer training folds: fitted performance of multi-output regression for syngas composition (H₂, CO, CH₄)."																													
																													
Fold	H₂ RMSE	H₂ R²	H₂ MAE	H₂ MAX	CO RMSE	CO R²	CO MAE	CO MAX	CH₄ RMSE	CH₄ R²	CH₄ MAE	CH₄ MAX																	
0	4.01	0.95	1.42	34.41	1.87	0.95	0.91	13.35	1.38	0.9	0.65	13.67																	
1	1.93	0.99	0.86	13.77	1.05	0.98	0.55	6.31	0.54	0.98	0.34	3.12																	
2	1.91	0.99	0.81	16.39	1.17	0.98	0.56	7.81	1.09	0.93	0.43	12.52																	
3	3.93	0.96	1.39	34.41	1.8	0.95	0.89	13.36	1.3	0.91	0.59	12.52																	
4	3.91	0.96	1.37	34.41	1.78	0.95	0.86	13.36	1.35	0.91	0.63	12.93																	
																													
"Table S6. Comparison of average performance metrics (mean ± standard deviation) for H₂, CO, and CH₄ prediction in training and test datasets"																													
																													
Component	Dataset	R² (-)	RMSE (%vol)	MAE (%vol)																									
H₂	Train	0.97 ± 0.02	3.1 ± 1.0	1.2 ± 0.3																									
H₂	Test	0.81 ± 0.10	7.7 ± 2.0	4.2 ± 0.3																									
CO	Train	0.97 ± 0.02	1.5 ± 0.4	0.8 ± 0.2																									
CO	Test	0.68 ± 0.05	4.8 ± 0.5	2.9 ± 0.4																									
CH₄	Train	0.93 ± 0.03	1.1 ± 0.4	0.5 ± 0.1																									
CH₄	Test	0.70 ± 0.10	2.3 ± 0.7	1.4 ± 0.3																									
																													
Table S7. Prediction performance metrics across different gasifying agents																													
																													
Gasifying agent	Target	RMSE mean	RMSE std	MAE mean	MAE std	MAX mean	MAX std																						
Air	CH₄	1.57	0.72	1.14	0.56	4.03	2.11																						
Air	CO	4.93	1.35	4.04	1.1	9.51	4																						
Air	H₂	6.57	1.72	5.16	1.65	13.46	3.51																						
Air-steam mixture	CH₄	1.42	0.39	1.03	0.23	3.56	1.36																						
Air-steam mixture	CO	2.59	1.52	1.57	0.61	7.21	4.28																						
Air-steam mixture	H₂	3.13	1.45	2.27	0.88	7.45	3.51																						
O₂ enriched air	CH₄	0.56	0.5	0.48	0.39	0.79	0.83																						
O₂ enriched air	CO	6.55	3.05	5.9	2.56	8.36	4.97																						
O₂ enriched air	H₂	4.39	1.93	4.1	1.66	5.29	2.84																						
Oxygen	CH₄	3.5	0.94	3.16	0.79	4.5	1.33																						
Oxygen	CO	6.85	4.27	6.1	3.59	9.06	6.96																						
Oxygen	H₂	10.69	5.93	10.49	5.89	12.2	6.8																						
Steam	CH₄	1.94	0.51	1.28	0.34	6.5	2.01																						
Steam	CO	3.3	0.86	2.14	0.57	11.4	4.57																						
Steam	H₂	5.09	1.19	3.16	0.72	17.85	4.88																						
Steam/O₂	CH₄	4.43	0.8	4.43	0.8	4.43	7.61																						
Steam/O₂	CO	9.2	7.61	9.2	7.61	9.2	7.61																						
Steam/O₂	H₂	3.01	2.58	3.01	2.58	3.01	2.58																						
