Analysis,VM (dry wt.%),Ash (dry wt.%),FC (dry wt.%),C (dry wt.%),H (dry wt.%),N (dry wt.%),S (dry wt.%),O* (dry wt.%)
Pine sawdust,82.39,3.09,15.39,49.3,6.41,0.81,0,41.26
"Note: VM = Volatile matter; FC = Fixed carbon; *O calculated by difference. Feedstock: pine sawdust from Hubei Province, China. Particle size: 150-250 um, dried at 105C for 24 h.",,,,,,,,
